iteration,i,j,Omega_curr,B_before,B_after,ell_before_B,B_ij_before,B_ji_before,delta_ij,delta_ji,chosen_direction,chosen_delta,B_ij_after,B_ji_after,ell_after_B,ell_after_Omega,B_improved,Omega_improved,B_contribution,Omega_contribution
0,1,2,"[[1. 0. 0. 0.]
 [0. 1. 0. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 1.]]","[[0. 0. 0. 0.]
 [0. 0. 0. 0.]
 [0. 0. 0. 0.]
 [0. 0. 0. 0.]]","[[0.         0.         0.         0.        ]
 [0.         0.         2.99369548 0.        ]
 [0.         0.         0.         0.        ]
 [0.         0.         0.         0.        ]]",68.94861567761556,0.0,0.0,2.993695479514549,0.2538696356757516,ij,2.993695479514549,2.993695479514549,0.0,51.18647637720603,6.4727747325159255,True,True,-17.762139300409537,-44.713701644690104
1,3,2,"[[ 2.02641431  0.          0.          0.        ]
 [ 0.          3.9637844   0.          0.        ]
 [ 0.          0.         11.21767781  0.        ]
 [ 0.          0.          0.         85.16507623]]","[[0.         0.         0.         0.        ]
 [0.         0.         2.99369548 0.        ]
 [0.         0.         0.         0.        ]
 [0.         0.         0.         0.        ]]","[[0.         0.         0.         0.        ]
 [0.         0.         2.99369548 0.        ]
 [0.         0.         0.         1.26613753]
 [0.         0.         0.         0.        ]]",6.4727747325159255,0.0,0.0,0.14444495663137752,1.2661375319518569,ji,1.2661375319518569,0.0,1.2661375319518569,6.0328512786931245,5.413280442674539,True,True,-0.43992345382280096,-0.6195708360185854
2,2,0,"[[ 2.02641431  0.          0.          0.        ]
 [ 0.          3.9637844   0.          0.        ]
 [ 0.          0.         11.21767781  0.        ]
 [ 0.          0.          0.         10.23284727]]","[[0.         0.         0.         0.        ]
 [0.         0.         2.99369548 0.        ]
 [0.         0.         0.         1.26613753]
 [0.         0.         0.         0.        ]]","[[0.         0.         2.00805557 0.        ]
 [0.         0.         2.99369548 0.        ]
 [0.         0.         0.         1.26613753]
 [0.         0.         0.         0.        ]]",5.413280442674539,0.0,0.0,0.08623644433851027,2.0080555651764143,ji,2.0080555651764143,0.0,2.0080555651764143,5.049074742403793,4.761547012843053,True,True,-0.3642057002707464,-0.2875277295607397
3,3,2,"[[ 2.02641431  0.          0.          0.        ]
 [ 0.          3.9637844   0.          0.        ]
 [ 0.          0.          3.0465934   0.        ]
 [ 0.          0.          0.         10.23284727]]","[[0.         0.         2.00805557 0.        ]
 [0.         0.         2.99369548 0.        ]
 [0.         0.         0.         1.26613753]
 [0.         0.         0.         0.        ]]","[[0.         0.         2.00805557 0.        ]
 [0.         0.         2.99369548 0.        ]
 [0.         0.         0.         1.26613753]
 [0.         0.         0.         0.        ]]",4.761547012843053,0.0,1.2661375319518569,0.0017968736546967576,1.2661375319518569,ji,1.2661375319518569,0.0,1.2661375319518569,4.761547012843053,4.761547012843053,True,True,0.0,0.0
4,1,0,"[[ 2.02641431  0.          0.          0.        ]
 [ 0.          3.9637844   0.          0.        ]
 [ 0.          0.          3.0465934   0.        ]
 [ 0.          0.          0.         10.23284727]]","[[0.         0.         2.00805557 0.        ]
 [0.         0.         2.99369548 0.        ]
 [0.         0.         0.         1.26613753]
 [0.         0.         0.         0.        ]]","[[ 0.         -0.00631214  2.00805557  0.        ]
 [ 0.          0.          2.99369548  0.        ]
 [ 0.          0.          0.          1.26613753]
 [ 0.          0.          0.          0.        ]]",4.761547012843053,0.0,0.0,-0.00322697156278278,-0.006312144293175577,ji,-0.006312144293175577,0.0,-0.006312144293175577,4.761536828287985,4.76153682818426,True,True,-1.0184555067738188e-05,-1.0372502856625943e-10
5,1,2,"[[ 2.02641431  0.          0.          0.        ]
 [ 0.          3.96370366  0.          0.        ]
 [ 0.          0.          3.0465934   0.        ]
 [ 0.          0.          0.         10.23284727]]","[[ 0.         -0.00631214  2.00805557  0.        ]
 [ 0.          0.          2.99369548  0.        ]
 [ 0.          0.          0.          1.26613753]
 [ 0.          0.          0.          0.        ]]","[[ 0.         -0.00631214  2.00805557  0.        ]
 [ 0.          0.          3.00017542  0.        ]
 [ 0.          0.          0.          1.26613753]
 [ 0.          0.          0.          0.        ]]",4.76153682818426,2.993695479514549,0.0,3.000175417719862,0.25441397255574666,ij,3.000175417719862,3.000175417719862,0.0,4.761509512803441,4.761509512057281,True,True,-2.731538081945928e-05,-7.461595785684949e-10
6,0,2,"[[ 2.02641431  0.          0.          0.        ]
 [ 0.          3.96370366  0.          0.        ]
 [ 0.          0.          3.04642697  0.        ]
 [ 0.          0.          0.         10.23284727]]","[[ 0.         -0.00631214  2.00805557  0.        ]
 [ 0.          0.          3.00017542  0.        ]
 [ 0.          0.          0.          1.26613753]
 [ 0.          0.          0.          0.        ]]","[[ 0.         -0.00631214  2.00809647  0.        ]
 [ 0.          0.          3.00017542  0.        ]
 [ 0.          0.          0.          1.26613753]
 [ 0.          0.          0.          0.        ]]",4.761509512057281,2.0080555651764143,0.0,2.0080964674813773,0.0,ij,2.0080964674813773,2.0080964674813773,0.0,4.761509511500861,4.761509511500862,True,False,-5.564197991247966e-10,8.881784197001252e-16
7,2,1,"[[ 2.02641431  0.          0.          0.        ]
 [ 0.          3.96370366  0.          0.        ]
 [ 0.          0.          3.04642696  0.        ]
 [ 0.          0.          0.         10.23284727]]","[[ 0.         -0.00631214  2.00809647  0.        ]
 [ 0.          0.          3.00017542  0.        ]
 [ 0.          0.          0.          1.26613753]
 [ 0.          0.          0.          0.        ]]","[[ 0.         -0.00631214  2.00809647  0.        ]
 [ 0.          0.          3.00017555  0.        ]
 [ 0.          0.          0.          1.26613753]
 [ 0.          0.          0.          0.        ]]",4.761509511500862,0.0,3.000175417719862,0.25441397255574666,3.0001755497104363,ji,3.0001755497104363,0.0,3.0001755497104363,4.761509511500849,4.761509511500851,True,False,-1.3322676295501878e-14,1.7763568394002505e-15
8,2,1,"[[ 2.02641431  0.          0.          0.        ]
 [ 0.          3.96370366  0.          0.        ]
 [ 0.          0.          3.04642696  0.        ]
 [ 0.          0.          0.         10.23284727]]","[[ 0.         -0.00631214  2.00809647  0.        ]
 [ 0.          0.          3.00017555  0.        ]
 [ 0.          0.          0.          1.26613753]
 [ 0.          0.          0.          0.        ]]","[[ 0.         -0.00631214  2.00809647  0.        ]
 [ 0.          0.          3.00017555  0.        ]
 [ 0.          0.          0.          1.26613753]
 [ 0.          0.          0.          0.        ]]",4.761509511500851,0.0,3.0001755497104363,0.25441397255574666,3.0001755497104368,ji,3.0001755497104368,0.0,3.0001755497104368,4.761509511500851,4.761509511500851,True,True,0.0,0.0
9,0,3,"[[ 2.02641431  0.          0.          0.        ]
 [ 0.          3.96370366  0.          0.        ]
 [ 0.          0.          3.04642696  0.        ]
 [ 0.          0.          0.         10.23284727]]","[[ 0.         -0.00631214  2.00809647  0.        ]
 [ 0.          0.          3.00017555  0.        ]
 [ 0.          0.          0.          1.26613753]
 [ 0.          0.          0.          0.        ]]","[[ 0.         -0.00631214  2.00809647  0.46699545]
 [ 0.          0.          3.00017555  0.        ]
 [ 0.          0.          0.          1.26613753]
 [ 0.          0.          0.          0.        ]]",4.761509511500851,0.0,0.0,0.4669954491784528,0.0,ij,0.4669954491784528,0.4669954491784528,0.0,4.739915811996734,4.739435648531035,True,True,-0.021593699504117048,-0.00048016346569834667
