B_scale,trial,seed,algorithm,shd,cpdag_shd,mec_match,precision,recall,f1,n_edges_true,n_edges_est,n_epochs_run,runtime_sec
0.1,1,89250953,CD_A,27,41.0,0,0.0,0.0,0.0,27,0,199,6.190947299823165
0.1,1,89250953,CD_BOmega,17,10.0,0,0.6923076923076923,0.6666666666666666,0.6792452830188679,27,26,199,85.52920959983021
0.1,2,773956048,CD_A,31,47.0,0,0.0,0.0,0.0,30,1,199,6.4541321999859065
0.1,2,773956048,CD_BOmega,37,29.0,0,0.3939393939393939,0.43333333333333335,0.4126984126984127,30,33,199,72.34583549993113
0.1,3,654571518,CD_A,31,57.0,0,0.0,0.0,0.0,31,0,199,5.367269699927419
0.1,3,654571518,CD_BOmega,25,26.0,0,0.5882352941176471,0.6451612903225806,0.6153846153846154,31,34,199,70.45771810016595
0.1,4,438878439,CD_A,33,50.0,0,0.0,0.0,0.0,33,0,199,5.8231905999127775
0.1,4,438878439,CD_BOmega,45,32.0,0,0.34210526315789475,0.3939393939393939,0.3661971830985915,33,38,199,73.80288530001417
0.1,5,433015235,CD_A,24,41.0,0,0.0,0.0,0.0,24,0,199,6.227152799954638
0.1,5,433015235,CD_BOmega,23,13.0,0,0.5217391304347826,0.5,0.5106382978723404,24,23,199,71.75541139999405
0.5,1,89250953,CD_A,22,20.0,0,0.631578947368421,0.4444444444444444,0.5217391304347826,27,19,199,7.668866500025615
0.5,1,89250953,CD_BOmega,22,15.0,0,0.5757575757575758,0.7037037037037037,0.6333333333333334,27,33,199,70.1577088998165
0.5,2,773956048,CD_A,7,7.0,0,0.9259259259259259,0.8333333333333334,0.8771929824561403,30,27,199,7.292183900019154
0.5,2,773956048,CD_BOmega,36,79.0,0,0.4423076923076923,0.7666666666666667,0.5609756097560975,30,52,199,67.42837650002912
0.5,3,654571518,CD_A,22,17.0,0,0.6451612903225806,0.6451612903225806,0.6451612903225806,31,31,199,8.146433100104332
0.5,3,654571518,CD_BOmega,19,25.0,0,0.65,0.8387096774193549,0.7323943661971831,31,40,199,69.8518668001052
