noise_ratio,algorithm,SHD of CPDAG,Precision of Skeleton,Recall of Skeleton
4.0,CALM,8.2 ± 5.3,0.93 ± 0.04,1.00 ± 0.01
4.0,GOLEM-NV-l1,93.8 ± 10.0,0.48 ± 0.04,0.43 ± 0.04
4.0,NOTEARS,6.4 ± 6.3,0.96 ± 0.05,0.97 ± 0.04
4.0,PC,12.8 ± 9.2,0.98 ± 0.02,0.98 ± 0.02
4.0,FGES,12.8 ± 4.9,0.94 ± 0.03,1.00 ± 0.00
4.0,cd_A,51.8 ± 11.6,0.79 ± 0.11,0.66 ± 0.02
4.0,cd_A_weakfaith,16.6 ± 9.1,0.99 ± 0.02,0.86 ± 0.08
8.0,CALM,10.8 ± 6.9,0.92 ± 0.05,1.00 ± 0.01
8.0,GOLEM-NV-l1,100.6 ± 14.7,0.41 ± 0.10,0.34 ± 0.10
8.0,NOTEARS,23.4 ± 10.8,0.87 ± 0.07,0.92 ± 0.03
8.0,PC,13.2 ± 9.8,0.99 ± 0.03,0.98 ± 0.02
8.0,FGES,15.4 ± 10.2,0.92 ± 0.01,1.00 ± 0.00
8.0,cd_A,56.0 ± 13.3,0.75 ± 0.12,0.66 ± 0.12
8.0,cd_A_weakfaith,20.6 ± 4.0,0.97 ± 0.04,0.86 ± 0.05
16.0,CALM,18.8 ± 13.8,0.90 ± 0.05,0.97 ± 0.03
16.0,GOLEM-NV-l1,100.2 ± 8.8,0.42 ± 0.04,0.39 ± 0.09
16.0,NOTEARS,36.0 ± 18.8,0.82 ± 0.08,0.92 ± 0.04
16.0,PC,21.4 ± 7.2,0.98 ± 0.02,0.96 ± 0.04
16.0,FGES,27.4 ± 25.7,0.92 ± 0.06,1.00 ± 0.00
16.0,cd_A,63.0 ± 27.8,0.73 ± 0.12,0.66 ± 0.07
16.0,cd_A_weakfaith,24.0 ± 7.9,0.97 ± 0.05,0.81 ± 0.07
