standardize,algorithm,SHD of CPDAG,Precision of Skeleton,Recall of Skeleton,SHD
False,CALM,11.6 ± 6.6,0.93 ± 0.04,0.98 ± 0.02,16.4 ± 5.3
False,GOLEM-NV-l1,71.4 ± 4.8,0.45 ± 0.03,0.45 ± 0.03,73.2 ± 3.2
False,NOTEARS,8.4 ± 4.0,0.93 ± 0.05,0.99 ± 0.01,7.8 ± 3.7
False,PC,2.6 ± 2.5,0.99 ± 0.01,0.98 ± 0.02,-
False,FGES,4.2 ± 2.0,0.95 ± 0.03,1.00 ± 0.00,-
False,cd_A,35.6 ± 4.4,0.70 ± 0.02,0.79 ± 0.04,37.8 ± 3.6
False,cd_A_weakfaith,13.2 ± 3.0,0.95 ± 0.02,0.92 ± 0.05,12.4 ± 3.9
True,CALM,4.6 ± 4.7,0.98 ± 0.02,0.99 ± 0.02,8.6 ± 4.3
True,GOLEM-NV-l1,61.0 ± 7.8,0.54 ± 0.05,0.65 ± 0.06,61.6 ± 5.4
True,NOTEARS,42.2 ± 5.8,0.81 ± 0.05,0.74 ± 0.05,38.2 ± 6.1
True,PC,2.6 ± 2.5,0.99 ± 0.01,0.98 ± 0.02,-
True,FGES,4.2 ± 2.0,0.95 ± 0.03,1.00 ± 0.00,-
True,cd_A,46.8 ± 10.2,0.65 ± 0.09,0.66 ± 0.04,48.0 ± 7.6
True,cd_A_weakfaith,22.2 ± 9.8,0.90 ± 0.04,0.84 ± 0.05,23.8 ± 6.2
