graph_label,d,calm_degree,standardize,n_samples,trial_id,data_seed,algorithm,status,n_edges_true,runtime_sec,message,cpdag_shd,shd,sk_p,sk_r,n_edges_est
50-node ER1,50,1.0,False,20000,1,89250953,CALM,ok,50,2447.750526800053,,20.0,21.0,0.8928571428571429,1.0,56
50-node ER1,50,1.0,False,20000,1,89250953,GOLEM-NV-l1,ok,50,56.918386900098994,,65.0,69.0,0.4888888888888889,0.44,45
50-node ER1,50,1.0,False,20000,1,89250953,NOTEARS,ok,50,667.7963643001858,,3.0,4.0,0.9803921568627451,1.0,51
50-node ER1,50,1.0,False,20000,1,89250953,PC,ok,50,7.847393900156021,,1.0,,1.0,0.98,62
50-node ER1,50,1.0,False,20000,1,89250953,FGES,ok,50,4.299422099953517,,6.0,,0.9090909090909091,1.0,68
50-node ER1,50,1.0,False,20000,1,89250953,cd_A,ok,50,671.9526692999061,,38.0,41.0,0.6833333333333333,0.82,60
50-node ER1,50,1.0,False,20000,1,89250953,cd_A_weakfaith,ok,50,675.2283695999067,,9.0,9.0,0.98,0.98,50
50-node ER1,50,1.0,False,20000,2,773956048,CALM,ok,50,2052.8209099997766,,10.0,16.0,0.9090909090909091,1.0,55
50-node ER1,50,1.0,False,20000,2,773956048,GOLEM-NV-l1,ok,50,54.260384999914095,,71.0,71.0,0.425531914893617,0.4,47
50-node ER1,50,1.0,False,20000,2,773956048,NOTEARS,ok,50,179.62540529994294,,13.0,13.0,0.8596491228070176,0.98,57
50-node ER1,50,1.0,False,20000,2,773956048,PC,ok,50,4.351333600003272,,1.0,,0.9803921568627451,1.0,63
50-node ER1,50,1.0,False,20000,2,773956048,FGES,ok,50,4.144490800099447,,5.0,,0.9433962264150944,1.0,62
50-node ER1,50,1.0,False,20000,2,773956048,cd_A,ok,50,678.712388999993,,34.0,34.0,0.72,0.72,50
50-node ER1,50,1.0,False,20000,2,773956048,cd_A_weakfaith,ok,50,654.6383292002138,,13.0,12.0,0.9555555555555556,0.86,45
50-node ER1,50,1.0,False,20000,3,654571518,CALM,ok,50,2015.1088448001537,,9.0,16.0,0.96,0.96,50
50-node ER1,50,1.0,False,20000,3,654571518,GOLEM-NV-l1,ok,50,57.99193780007772,,69.0,74.0,0.48,0.48,50
50-node ER1,50,1.0,False,20000,3,654571518,NOTEARS,ok,50,504.94010320003144,,11.0,10.0,0.9245283018867925,0.98,53
50-node ER1,50,1.0,False,20000,3,654571518,PC,ok,50,4.32666669995524,,2.0,,1.0,0.96,65
50-node ER1,50,1.0,False,20000,3,654571518,FGES,ok,50,4.071492800023407,,2.0,,0.9615384615384616,1.0,69
50-node ER1,50,1.0,False,20000,3,654571518,cd_A,ok,50,725.8219292000867,,31.0,37.0,0.6833333333333333,0.82,60
50-node ER1,50,1.0,False,20000,3,654571518,cd_A_weakfaith,ok,50,662.1006819000468,,12.0,10.0,0.9411764705882353,0.96,51
50-node ER1,50,1.0,False,20000,4,438878439,CALM,ok,50,1739.9999841998797,,16.0,21.0,0.8888888888888888,0.96,54
50-node ER1,50,1.0,False,20000,4,438878439,GOLEM-NV-l1,ok,50,52.6269077998586,,75.0,75.0,0.45098039215686275,0.46,51
50-node ER1,50,1.0,False,20000,4,438878439,NOTEARS,ok,50,720.5306021000724,,6.0,5.0,0.9615384615384616,1.0,52
50-node ER1,50,1.0,False,20000,4,438878439,PC,ok,50,3.7411297999788076,,7.0,,0.98,0.98,69
50-node ER1,50,1.0,False,20000,4,438878439,FGES,ok,50,3.9034790000878274,,6.0,,0.9433962264150944,1.0,63
50-node ER1,50,1.0,False,20000,4,438878439,cd_A,ok,50,637.7534368999768,,33.0,35.0,0.7142857142857143,0.8,56
50-node ER1,50,1.0,False,20000,4,438878439,cd_A_weakfaith,ok,50,614.5297632000875,,17.0,12.0,0.9583333333333334,0.92,48
50-node ER1,50,1.0,False,20000,5,433015235,CALM,ok,50,1630.614410799928,,3.0,8.0,0.9803921568627451,1.0,51
50-node ER1,50,1.0,False,20000,5,433015235,GOLEM-NV-l1,ok,50,53.9633764999453,,77.0,77.0,0.42592592592592593,0.46,54
50-node ER1,50,1.0,False,20000,5,433015235,NOTEARS,ok,50,389.90441290009767,,9.0,7.0,0.9090909090909091,1.0,55
50-node ER1,50,1.0,False,20000,5,433015235,PC,ok,50,4.013095899950713,,2.0,,0.9803921568627451,1.0,66
50-node ER1,50,1.0,False,20000,5,433015235,FGES,ok,50,4.006723599974066,,2.0,,0.9803921568627451,1.0,66
50-node ER1,50,1.0,False,20000,5,433015235,cd_A,ok,50,611.677417299943,,42.0,42.0,0.7090909090909091,0.78,55
50-node ER1,50,1.0,False,20000,5,433015235,cd_A_weakfaith,ok,50,643.5117759997956,,15.0,19.0,0.9183673469387755,0.9,49
50-node ER1,50,1.0,True,20000,1,89250953,CALM,ok,50,1633.7923219997901,,11.0,11.0,0.9433962264150944,1.0,53
50-node ER1,50,1.0,True,20000,1,89250953,GOLEM-NV-l1,ok,50,52.459488899912685,,59.0,61.0,0.5535714285714286,0.62,56
50-node ER1,50,1.0,True,20000,1,89250953,NOTEARS,ok,50,801.970897299936,,47.0,42.0,0.7446808510638298,0.7,47
50-node ER1,50,1.0,True,20000,1,89250953,PC,ok,50,3.8736010000575334,,1.0,,1.0,0.98,62
50-node ER1,50,1.0,True,20000,1,89250953,FGES,ok,50,3.954799799947068,,6.0,,0.9090909090909091,1.0,68
50-node ER1,50,1.0,True,20000,1,89250953,cd_A,ok,50,657.6337818999309,,50.0,50.0,0.5925925925925926,0.64,54
50-node ER1,50,1.0,True,20000,1,89250953,cd_A_weakfaith,ok,50,655.8243125998415,,20.0,21.0,0.9148936170212766,0.86,47
50-node ER1,50,1.0,True,20000,2,773956048,CALM,ok,50,1518.490505499998,,0.0,5.0,1.0,1.0,50
50-node ER1,50,1.0,True,20000,2,773956048,GOLEM-NV-l1,ok,50,53.82885650009848,,50.0,53.0,0.6,0.72,60
50-node ER1,50,1.0,True,20000,2,773956048,NOTEARS,ok,50,95.18307380005717,,46.0,46.0,0.7906976744186046,0.68,43
50-node ER1,50,1.0,True,20000,2,773956048,PC,ok,50,4.037935300031677,,1.0,,0.9803921568627451,1.0,63
50-node ER1,50,1.0,True,20000,2,773956048,FGES,ok,50,3.9418781001586467,,5.0,,0.9433962264150944,1.0,62
50-node ER1,50,1.0,True,20000,2,773956048,cd_A,ok,50,652.0241063998546,,38.0,39.0,0.7777777777777778,0.7,45
50-node ER1,50,1.0,True,20000,2,773956048,cd_A_weakfaith,ok,50,647.2562089001294,,24.0,28.0,0.8695652173913043,0.8,46
50-node ER1,50,1.0,True,20000,3,654571518,CALM,ok,50,1585.2767751000356,,5.0,13.0,0.9615384615384616,1.0,52
50-node ER1,50,1.0,True,20000,3,654571518,GOLEM-NV-l1,ok,50,56.78327409992926,,65.0,65.0,0.5,0.58,58
50-node ER1,50,1.0,True,20000,3,654571518,NOTEARS,ok,50,462.8296759999357,,33.0,30.0,0.8666666666666667,0.78,45
50-node ER1,50,1.0,True,20000,3,654571518,PC,ok,50,4.224151999922469,,2.0,,1.0,0.96,65
50-node ER1,50,1.0,True,20000,3,654571518,FGES,ok,50,4.021836299914867,,2.0,,0.9615384615384616,1.0,69
50-node ER1,50,1.0,True,20000,3,654571518,cd_A,ok,50,658.253716800129,,44.0,49.0,0.6470588235294118,0.66,51
50-node ER1,50,1.0,True,20000,3,654571518,cd_A_weakfaith,ok,50,658.7088663999457,,16.0,24.0,0.9183673469387755,0.9,49
50-node ER1,50,1.0,True,20000,4,438878439,CALM,ok,50,1877.8085541999899,,7.0,11.0,0.9795918367346939,0.96,49
50-node ER1,50,1.0,True,20000,4,438878439,GOLEM-NV-l1,ok,50,53.851655799895525,,71.0,67.0,0.484375,0.62,64
50-node ER1,50,1.0,True,20000,4,438878439,NOTEARS,ok,50,378.6233246999327,,40.0,37.0,0.8409090909090909,0.74,44
50-node ER1,50,1.0,True,20000,4,438878439,PC,ok,50,3.916262600105256,,7.0,,0.98,0.98,69
50-node ER1,50,1.0,True,20000,4,438878439,FGES,ok,50,3.9147097999230027,,6.0,,0.9433962264150944,1.0,63
50-node ER1,50,1.0,True,20000,4,438878439,cd_A,ok,50,649.9451859998517,,63.0,59.0,0.543859649122807,0.62,57
50-node ER1,50,1.0,True,20000,4,438878439,cd_A_weakfaith,ok,50,649.0111965001561,,38.0,31.0,0.8478260869565217,0.78,46
50-node ER1,50,1.0,True,20000,5,433015235,CALM,ok,50,1458.3418966999743,,0.0,3.0,1.0,1.0,50
50-node ER1,50,1.0,True,20000,5,433015235,GOLEM-NV-l1,ok,50,56.30685650021769,,60.0,62.0,0.546875,0.7,64
50-node ER1,50,1.0,True,20000,5,433015235,NOTEARS,ok,50,667.0259485000279,,45.0,36.0,0.8125,0.78,48
50-node ER1,50,1.0,True,20000,5,433015235,PC,ok,50,4.157320199999958,,2.0,,0.9803921568627451,1.0,66
50-node ER1,50,1.0,True,20000,5,433015235,FGES,ok,50,4.155557599849999,,2.0,,0.9803921568627451,1.0,66
50-node ER1,50,1.0,True,20000,5,433015235,cd_A,ok,50,661.3434719000943,,39.0,43.0,0.7,0.7,50
50-node ER1,50,1.0,True,20000,5,433015235,cd_A_weakfaith,ok,50,649.1963354998734,,13.0,15.0,0.9565217391304348,0.88,46
