graph_label,algorithm,SHD of CPDAG,Precision of Skeleton,Recall of Skeleton,SHD
50-node ER1,CALM,10.0 ± 5.0,0.93 ± 0.03,0.99 ± 0.02,15.0 ± 4.1
50-node ER1,GOLEM-NV-l1,71.4 ± 4.8,0.45 ± 0.03,0.45 ± 0.03,73.2 ± 3.2
50-node ER1,NOTEARS,11.0 ± 3.7,0.89 ± 0.04,0.96 ± 0.02,10.8 ± 4.1
50-node ER1,PC,2.6 ± 2.5,0.99 ± 0.01,0.98 ± 0.02,-
50-node ER1,FGES,4.2 ± 2.0,0.95 ± 0.03,1.00 ± 0.00,-
50-node ER1,cd_A,35.8 ± 4.7,0.76 ± 0.05,0.67 ± 0.03,35.4 ± 4.2
50-node ER1,cd_A_weakfaith,18.2 ± 4.5,0.95 ± 0.03,0.83 ± 0.08,16.0 ± 4.1
50-node ER2,CALM,54.6 ± 9.2,0.79 ± 0.03,0.87 ± 0.07,52.4 ± 9.2
50-node ER2,GOLEM-NV-l1,139.6 ± 11.9,0.34 ± 0.07,0.23 ± 0.03,137.2 ± 12.6
50-node ER2,NOTEARS,34.6 ± 15.5,0.81 ± 0.09,0.92 ± 0.02,33.0 ± 15.2
50-node ER2,PC,66.4 ± 5.3,0.80 ± 0.04,0.60 ± 0.02,-
50-node ER2,FGES,126.0 ± 138.6,0.62 ± 0.30,0.99 ± 0.01,-
50-node ER2,cd_A,97.8 ± 20.4,0.58 ± 0.11,0.61 ± 0.09,94.8 ± 21.0
50-node ER2,cd_A_weakfaith,41.2 ± 11.2,0.90 ± 0.05,0.78 ± 0.08,37.6 ± 10.9
50-node ER4,CALM,127.2 ± 65.8,0.71 ± 0.12,0.73 ± 0.19,125.2 ± 64.1
50-node ER4,GOLEM-NV-l1,260.8 ± 14.3,0.31 ± 0.04,0.20 ± 0.05,258.6 ± 15.6
50-node ER4,NOTEARS,103.6 ± 19.0,0.71 ± 0.05,0.86 ± 0.03,103.4 ± 20.2
50-node ER4,PC,194.4 ± 8.1,0.69 ± 0.07,0.23 ± 0.05,-
50-node ER4,FGES,672.2 ± 65.5,0.25 ± 0.02,0.97 ± 0.01,-
50-node ER4,cd_A,424.6 ± 79.6,0.27 ± 0.05,0.58 ± 0.05,424.0 ± 80.1
50-node ER4,cd_A_weakfaith,149.4 ± 34.5,0.67 ± 0.08,0.66 ± 0.07,149.2 ± 34.0
