graph_label,d,calm_degree,n_samples,trial_id,data_seed,algorithm,status,n_edges_true,runtime_sec,message,cpdag_shd,sk_p,sk_r,n_edges_est
50-node ER1,50,1.0,20000,1,89250953,CALM,ok,50,115.04141369997524,,37.0,0.9375,0.6,32
50-node ER1,50,1.0,20000,1,89250953,GOLEM-NV-l1,ok,50,54.45060499990359,,84.0,0.4888888888888889,0.44,45
50-node ER1,50,1.0,20000,1,89250953,NOTEARS,ok,50,680.4933025999926,,2.0,0.9803921568627451,1.0,51
50-node ER1,50,1.0,20000,1,89250953,PC,ok,50,6.007940799929202,,7.0,1.0,0.98,62
50-node ER1,50,1.0,20000,1,89250953,FGES,ok,50,4.092088400153443,,18.0,0.9090909090909091,1.0,68
50-node ER1,50,1.0,20000,1,89250953,cd_A,ok,50,62.963875900022686,,56.0,0.6721311475409836,0.82,61
50-node ER1,50,1.0,20000,1,89250953,cd_A_weakfaith,ok,50,60.81120140012354,,5.0,0.98,0.98,50
50-node ER1,50,1.0,20000,2,773956048,CALM,ok,50,132.14924379996955,,55.0,1.0,0.44,22
50-node ER1,50,1.0,20000,2,773956048,GOLEM-NV-l1,ok,50,51.9625486000441,,115.0,0.425531914893617,0.4,47
50-node ER1,50,1.0,20000,2,773956048,NOTEARS,ok,50,173.03935480001383,,29.0,0.8596491228070176,0.98,57
50-node ER1,50,1.0,20000,2,773956048,PC,ok,50,3.9409310000482947,,2.0,0.9803921568627451,1.0,63
50-node ER1,50,1.0,20000,2,773956048,FGES,ok,50,3.917102200211957,,8.0,0.9433962264150944,1.0,62
50-node ER1,50,1.0,20000,2,773956048,cd_A,ok,50,71.87967239995487,,58.0,0.72,0.72,50
50-node ER1,50,1.0,20000,2,773956048,cd_A_weakfaith,ok,50,60.19230589992367,,21.0,0.9555555555555556,0.86,45
50-node ER1,50,1.0,20000,3,654571518,CALM,ok,50,128.65506869996898,,37.0,0.9666666666666667,0.58,30
50-node ER1,50,1.0,20000,3,654571518,GOLEM-NV-l1,ok,50,52.18283239984885,,103.0,0.48,0.48,50
50-node ER1,50,1.0,20000,3,654571518,NOTEARS,ok,50,554.5532655999996,,9.0,0.9245283018867925,0.98,53
50-node ER1,50,1.0,20000,3,654571518,PC,ok,50,3.7175141000188887,,19.0,1.0,0.96,65
50-node ER1,50,1.0,20000,3,654571518,FGES,ok,50,3.9298266998957843,,18.0,0.9615384615384616,1.0,69
50-node ER1,50,1.0,20000,3,654571518,cd_A,ok,50,67.59691719990224,,68.0,0.6774193548387096,0.84,62
50-node ER1,50,1.0,20000,3,654571518,cd_A_weakfaith,ok,50,65.45961420005187,,13.0,0.9411764705882353,0.96,51
50-node ER1,50,1.0,20000,4,438878439,CALM,ok,50,147.13332900009118,,50.0,0.9259259259259259,0.5,27
50-node ER1,50,1.0,20000,4,438878439,GOLEM-NV-l1,ok,50,59.37032329989597,,99.0,0.45098039215686275,0.46,51
50-node ER1,50,1.0,20000,4,438878439,NOTEARS,ok,50,771.6132709002122,,4.0,0.9615384615384616,1.0,52
50-node ER1,50,1.0,20000,4,438878439,PC,ok,50,3.6714513001497835,,13.0,0.98,0.98,69
50-node ER1,50,1.0,20000,4,438878439,FGES,ok,50,3.453034000005573,,10.0,0.9433962264150944,1.0,63
50-node ER1,50,1.0,20000,4,438878439,cd_A,ok,50,63.79508130019531,,73.0,0.6779661016949152,0.8,59
50-node ER1,50,1.0,20000,4,438878439,cd_A_weakfaith,ok,50,66.57675949996337,,14.0,0.9583333333333334,0.92,48
50-node ER1,50,1.0,20000,5,433015235,CALM,ok,50,183.81877109990455,,40.0,1.0,0.54,27
50-node ER1,50,1.0,20000,5,433015235,GOLEM-NV-l1,ok,50,67.0327069000341,,94.0,0.42592592592592593,0.46,54
50-node ER1,50,1.0,20000,5,433015235,NOTEARS,ok,50,441.59637980000116,,18.0,0.9090909090909091,1.0,55
50-node ER1,50,1.0,20000,5,433015235,PC,ok,50,3.9616177000571042,,11.0,0.9803921568627451,1.0,66
50-node ER1,50,1.0,20000,5,433015235,FGES,ok,50,4.68356869998388,,11.0,0.9803921568627451,1.0,66
50-node ER1,50,1.0,20000,5,433015235,cd_A,ok,50,75.1737341999542,,58.0,0.7090909090909091,0.78,55
50-node ER1,50,1.0,20000,5,433015235,cd_A_weakfaith,ok,50,74.85485509992577,,24.0,0.9183673469387755,0.9,49
50-node ER4,50,4.0,20000,1,858597919,CALM,ok,200,309.1324553999584,,689.0,1.0,0.005,1
50-node ER4,50,4.0,20000,1,858597919,GOLEM-NV-l1,ok,200,59.32679540012032,,1068.0,0.33783783783783783,0.25,148
50-node ER4,50,4.0,20000,1,858597919,NOTEARS,ok,200,5457.770628100028,,322.0,0.8177777777777778,0.92,225
50-node ER4,50,4.0,20000,1,858597919,PC,ok,200,3.450882700039074,,692.0,0.6923076923076923,0.225,80
50-node ER4,50,4.0,20000,1,858597919,FGES,ok,200,18.436976799974218,,3657.0,0.3116883116883117,0.96,623
