graph_label,d,calm_degree,n_samples,trial_id,data_seed,algorithm,status,n_edges_true,runtime_sec,message,cpdag_shd,shd,sk_p,sk_r,n_edges_est
50-node ER1,50,1.0,20000,1,89250953,CALM,ok,50,834.068547999952,,17.0,18.0,0.9090909090909091,1.0,55
50-node ER1,50,1.0,20000,1,89250953,GOLEM-NV-l1,ok,50,52.78122360003181,,65.0,69.0,0.4888888888888889,0.44,45
50-node ER1,50,1.0,20000,1,89250953,NOTEARS,ok,50,215.61956880008802,,8.0,9.0,0.9230769230769231,0.96,52
50-node ER1,50,1.0,20000,1,89250953,PC,ok,50,4.990017500007525,,1.0,,1.0,0.98,62
50-node ER1,50,1.0,20000,1,89250953,FGES,ok,50,4.647825400112197,,6.0,,0.9090909090909091,1.0,68
50-node ER1,50,1.0,20000,1,89250953,cd_A,ok,50,345.95037440001033,,39.0,39.0,0.717391304347826,0.66,46
50-node ER1,50,1.0,20000,1,89250953,cd_A_weakfaith,ok,50,330.0682522000279,,11.0,11.0,1.0,0.9,45
50-node ER1,50,1.0,20000,2,773956048,CALM,ok,50,815.7002958001103,,10.0,15.0,0.9090909090909091,1.0,55
50-node ER1,50,1.0,20000,2,773956048,GOLEM-NV-l1,ok,50,58.17460769996978,,71.0,71.0,0.425531914893617,0.4,47
50-node ER1,50,1.0,20000,2,773956048,NOTEARS,ok,50,131.0090904000681,,13.0,13.0,0.8596491228070176,0.98,57
50-node ER1,50,1.0,20000,2,773956048,PC,ok,50,4.295917300041765,,1.0,,0.9803921568627451,1.0,63
50-node ER1,50,1.0,20000,2,773956048,FGES,ok,50,4.035585799952969,,5.0,,0.9433962264150944,1.0,62
50-node ER1,50,1.0,20000,2,773956048,cd_A,ok,50,326.8857076000422,,31.0,30.0,0.8378378378378378,0.62,37
50-node ER1,50,1.0,20000,2,773956048,cd_A_weakfaith,ok,50,319.80401490000077,,23.0,19.0,0.9459459459459459,0.7,37
50-node ER1,50,1.0,20000,3,654571518,CALM,ok,50,912.0207471998874,,9.0,16.0,0.96,0.96,50
50-node ER1,50,1.0,20000,3,654571518,GOLEM-NV-l1,ok,50,60.03047879994847,,69.0,74.0,0.48,0.48,50
50-node ER1,50,1.0,20000,3,654571518,NOTEARS,ok,50,213.6021015001461,,16.0,17.0,0.8363636363636363,0.92,55
