dataset_seed,trial_id,algo_seed,mode,n_edges_true,score,shd,n_edges_est,n_steps,runtime_sec,mec_match
1,1,18044244,fixed,38,55.67483334779408,49,55,100000,42.51577379996888,0
1,1,18044244,early_stop,38,55.68653868090473,49,55,24645,11.462214699946344,0
1,2,604916791,fixed,38,52.94773006548131,32,46,100000,48.67500999988988,0
1,2,604916791,early_stop,38,52.962372012209016,32,46,27900,13.246172199957073,0
1,3,837616598,fixed,38,57.03680219160063,51,49,100000,44.6855121999979,0
1,3,837616598,early_stop,38,57.04010135809877,51,49,23250,10.251020799856633,0
1,4,805844143,fixed,38,53.1991278110994,36,46,100000,48.217081000097096,0
1,4,805844143,early_stop,38,53.27070616104406,36,46,29760,16.151030299952254,0
1,5,156042563,fixed,38,53.86685653509055,30,44,100000,46.97788870008662,0
1,5,156042563,early_stop,38,53.87750697416635,30,44,23715,11.499568200204521,0
1,6,872013665,fixed,38,54.8148174810639,43,51,100000,48.35140169993974,0
1,6,872013665,early_stop,38,54.84794241080518,43,51,28365,13.215103900060058,0
1,7,705505053,fixed,38,53.75294875808461,40,50,100000,42.220927299931645,0
1,7,705505053,early_stop,38,53.807962416420665,40,50,26970,11.010169900022447,0
1,8,59742985,fixed,38,55.09733507547569,27,41,100000,39.852316400036216,0
1,8,59742985,early_stop,38,55.11585805165197,27,41,25110,10.618560699978843,0
1,9,232705303,fixed,38,55.970100908292764,51,47,100000,40.24923580000177,0
1,9,232705303,early_stop,38,56.00227810729073,51,47,24180,9.892590299947187,0
1,10,520058555,fixed,38,56.114276004546866,37,43,100000,39.4862193998415,0
1,10,520058555,early_stop,38,56.13157946458797,37,43,26970,10.863677399931476,0
2,1,18044244,fixed,31,55.514661008195226,32,43,100000,40.69865039992146,0
2,1,18044244,early_stop,31,55.534680873440195,32,43,31155,12.902619400061667,0
2,2,604916791,fixed,31,55.61070375614608,29,34,100000,41.78095609997399,0
2,2,604916791,early_stop,31,55.639862592711125,29,34,39525,15.634203199995682,0
2,3,837616598,fixed,31,53.28679408570567,28,39,100000,38.321994700003415,0
2,3,837616598,early_stop,31,53.61004430300565,29,38,33015,12.526592700043693,0
2,4,805844143,fixed,31,53.568793742830664,35,38,100000,37.70882080006413,0
2,4,805844143,early_stop,31,53.58549421005947,35,38,30225,11.896758899791166,0
2,5,156042563,fixed,31,55.9646411557688,29,36,100000,37.47225380013697,0
2,5,156042563,early_stop,31,56.00362907425989,29,36,26505,10.214173800079152,0
2,6,872013665,fixed,31,52.53789573491507,19,38,100000,38.12688810005784,0
2,6,872013665,early_stop,31,52.87995247330949,20,37,37200,14.031844099983573,0
2,7,705505053,fixed,31,55.276482572289524,24,33,100000,37.315516700036824,0
2,7,705505053,early_stop,31,55.29802722915598,26,35,25575,9.677884300006554,0
2,8,59742985,fixed,31,52.507194607109625,17,34,100000,37.1622523998376,0
2,8,59742985,early_stop,31,52.56124337054717,19,36,24645,9.488058200106025,0
2,9,232705303,fixed,31,53.28105004949538,19,36,100000,40.768891599960625,0
2,9,232705303,early_stop,31,53.6379654660581,20,35,33015,13.482944400049746,0
2,10,520058555,fixed,31,52.444472817899545,25,40,100000,39.6374427000992,0
2,10,520058555,early_stop,31,52.49355240104835,25,40,41850,18.876415600068867,0
3,1,18044244,fixed,30,55.32795016243965,36,40,100000,47.67960239993408,0
3,1,18044244,early_stop,30,55.40490449665215,36,40,21855,10.340597700094804,0
3,2,604916791,fixed,30,53.43357053955262,29,39,100000,47.79948880011216,0
3,2,604916791,early_stop,30,53.461581897890106,29,39,22320,9.411810100078583,0
3,3,837616598,fixed,30,55.228002211389395,33,37,100000,47.90778000000864,0
3,3,837616598,early_stop,30,55.22932352908592,33,37,27435,13.29467249987647,0
3,4,805844143,fixed,30,54.27116193662383,27,35,100000,46.23165349988267,0
3,4,805844143,early_stop,30,54.29100486840362,27,35,19530,7.785982700064778,0
3,5,156042563,fixed,30,53.72761097701127,24,36,100000,39.8745644998271,0
3,5,156042563,early_stop,30,53.74305461353124,24,36,26970,13.17388810007833,0
3,6,872013665,fixed,30,56.21720204664382,26,36,100000,44.6098729998339,0
3,6,872013665,early_stop,30,56.22411430551789,26,36,27900,12.610274499980733,0
3,7,705505053,fixed,30,54.044176240249016,35,41,100000,37.851452900096774,0
3,7,705505053,early_stop,30,54.060397414705136,35,41,19995,9.098623800091445,0
3,8,59742985,fixed,30,54.27107987695014,34,36,100000,36.18027439992875,0
3,8,59742985,early_stop,30,54.28738096335226,34,36,22785,8.5734083999414,0
3,9,232705303,fixed,30,52.42214642972292,10,30,100000,37.36901800008491,0
3,9,232705303,early_stop,30,52.42975122167783,10,30,20460,7.666344299912453,0
3,10,520058555,fixed,30,53.7489029842927,28,38,100000,36.85234899981879,0
3,10,520058555,early_stop,30,53.76730563238547,28,38,27435,10.398262200178578,0
