dataset_seed,trial_id,algo_seed,mode,n_restarts,n_edges_true,score,shd,n_edges_est,runtime_sec,mec_match
1,1,18044244,single,1,38,60.958322222667256,58,52,8.524709100136533,0
1,1,18044244,multi_3,3,38,58.313786317449676,55,51,26.74332490004599,0
1,1,18044244,multi_5,5,38,58.313786317449676,55,51,49.70574709982611,0
1,1,18044244,multi_10,10,38,58.313786317449676,55,51,127.3608619000297,0
1,2,604916791,single,1,38,59.04308001815151,41,43,11.730404200032353,0
1,2,604916791,multi_3,3,38,58.59314041368009,36,44,40.66575249982998,0
1,2,604916791,multi_5,5,38,58.59314041368009,36,44,78.95670450013131,0
1,2,604916791,multi_10,10,38,58.44773928279122,55,55,146.02998270001262,0
1,3,837616598,single,1,38,59.79772283219542,52,50,10.66584559995681,0
1,3,837616598,multi_3,3,38,57.76414669431439,46,54,36.3432120999787,0
1,3,837616598,multi_5,5,38,57.76414669431439,46,54,54.056876600021496,0
1,3,837616598,multi_10,10,38,57.76414669431439,46,54,110.76052849995904,0
1,4,805844143,single,1,38,58.61165391457254,47,47,11.782020500162616,0
1,4,805844143,multi_3,3,38,58.35227627026698,31,43,39.72339539998211,0
1,4,805844143,multi_5,5,38,58.35227627026698,31,43,63.690752499969676,0
1,4,805844143,multi_10,10,38,58.35227627026698,31,43,114.66320840013213,0
1,5,156042563,single,1,38,57.515326743534814,27,39,16.233722599921748,0
1,5,156042563,multi_3,3,38,57.68183221058953,32,46,33.19372160010971,0
1,5,156042563,multi_5,5,38,57.68183221058953,32,46,55.848407400073484,0
1,5,156042563,multi_10,10,38,57.68183221058953,32,46,103.6867749998346,0
1,6,872013665,single,1,38,58.61216022535668,44,52,10.630185100017115,0
1,6,872013665,multi_3,3,38,56.786281593627876,29,47,32.72825559997,0
1,6,872013665,multi_5,5,38,56.786281593627876,29,47,52.289442899869755,0
1,6,872013665,multi_10,10,38,56.786281593627876,29,47,104.57710319990292,0
1,7,705505053,single,1,38,57.67985702266526,42,46,11.782525200163946,0
1,7,705505053,multi_3,3,38,59.01812643649896,36,42,29.6096882999409,0
1,7,705505053,multi_5,5,38,57.28939075017992,36,44,53.07453199988231,0
1,7,705505053,multi_10,10,38,57.28939075017992,36,44,99.74232730013318,0
1,8,59742985,single,1,38,58.01708252608442,34,44,10.673496899893507,0
1,8,59742985,multi_3,3,38,57.502316312626846,36,46,30.69007550016977,0
1,8,59742985,multi_5,5,38,57.502316312626846,36,46,56.918913799803704,0
1,8,59742985,multi_10,10,38,57.502316312626846,36,46,113.8517908998765,0
1,9,232705303,single,1,38,60.29095751146238,59,49,7.747816299786791,0
1,9,232705303,multi_3,3,38,56.79073317293858,29,45,31.516702399821952,0
1,9,232705303,multi_5,5,38,56.79073317293858,29,45,56.90281670005061,0
1,9,232705303,multi_10,10,38,56.79073317293858,29,45,114.26868530013599,0
1,10,520058555,single,1,38,59.2149046521337,41,43,11.14702820009552,0
1,10,520058555,multi_3,3,38,58.35950076845263,38,44,33.82738649984822,0
1,10,520058555,multi_5,5,38,58.35950076845263,38,44,53.487189600011334,0
1,10,520058555,multi_10,10,38,58.12124821346679,38,46,110.75314439996146,0
1,11,122644180,single,1,38,58.89140603317455,65,51,11.320513000013307,0
1,11,122644180,multi_3,3,38,59.13998118184247,56,54,34.18291860003956,0
1,11,122644180,multi_5,5,38,59.13998118184247,56,54,52.231868900125846,0
1,11,122644180,multi_10,10,38,58.64784140336255,42,46,112.35867079999298,0
1,12,660937230,single,1,38,58.34088810615836,45,49,9.69836030015722,0
1,12,660937230,multi_3,3,38,57.16178175584494,38,52,35.54182089981623,0
1,12,660937230,multi_5,5,38,57.16178175584494,38,52,54.951613100012764,0
1,12,660937230,multi_10,10,38,57.16178175584494,38,52,105.80100829992443,0
1,13,805466938,single,1,38,57.247281145054345,38,48,10.320556099992245,0
1,13,805466938,multi_3,3,38,57.63772643837675,37,43,29.852854900062084,0
1,13,805466938,multi_5,5,38,57.63772643837675,37,43,47.29407100006938,0
1,13,805466938,multi_10,10,38,57.63772643837675,37,43,102.0781553001143,0
1,14,520305401,single,1,38,60.33589269089771,42,44,8.71203580009751,0
1,14,520305401,multi_3,3,38,59.000328524504454,47,47,33.61524370010011,0
1,14,520305401,multi_5,5,38,57.82924187257365,50,50,54.313072100048885,0
1,14,520305401,multi_10,10,38,57.82924187257365,50,50,112.00373720005155,0
1,15,531151352,single,1,38,60.068593769535624,43,41,14.445530500030145,0
1,15,531151352,multi_3,3,38,58.686577871304124,39,41,29.03077830001712,0
1,15,531151352,multi_5,5,38,58.686577871304124,39,41,45.97348510008305,0
1,15,531151352,multi_10,10,38,57.8971203008652,29,43,100.30487610003911,0
1,16,253550752,single,1,38,58.83025077863769,42,46,8.575806099921465,0
1,16,253550752,multi_3,3,38,58.096496817609236,34,40,27.85624450002797,0
1,16,253550752,multi_5,5,38,58.096496817609236,34,40,43.80003289994784,0
1,16,253550752,multi_10,10,38,58.096496817609236,34,40,108.2262803001795,0
1,17,306030736,single,1,38,59.34469656591676,37,41,9.367904799990356,0
1,17,306030736,multi_3,3,38,58.23954962946341,35,45,27.247272399952635,0
1,17,306030736,multi_5,5,38,58.23954962946341,35,45,48.56905149994418,0
1,17,306030736,multi_10,10,38,58.23954962946341,35,45,98.51424799999222,0
1,18,852304042,single,1,38,61.027815768132015,50,44,9.64170669997111,0
1,18,852304042,multi_3,3,38,58.47208905597654,37,45,28.534851799951866,0
1,18,852304042,multi_5,5,38,58.21000486871944,41,41,45.589005399961025,0
1,18,852304042,multi_10,10,38,57.890579406736244,25,41,100.1719947999809,0
1,19,542673397,single,1,38,59.71311642715705,45,47,9.099277899833396,0
1,19,542673397,multi_3,3,38,57.747975530471265,40,50,29.751561200013384,0
1,19,542673397,multi_5,5,38,57.54475494327378,43,47,49.808249099878594,0
1,19,542673397,multi_10,10,38,57.54475494327378,43,47,103.00400649989024,0
1,20,287248299,single,1,38,58.881096897804355,46,44,10.451316999970004,0
1,20,287248299,multi_3,3,38,58.28742829685626,45,47,33.99321549991146,0
1,20,287248299,multi_5,5,38,58.28742829685626,45,47,60.19485990004614,0
1,20,287248299,multi_10,10,38,58.28742829685626,45,47,107.60353920003399,0
1,21,349000651,single,1,38,58.40454931040884,48,50,8.599370799958706,0
