n_samples,trial_id,data_seed,score,lambda_eff,actual_T,final_obj,runtime_sec,n_edges_true,cpdag_shd,shd,sk_p,sk_r,n_edges_est
2000,1,89250953,l0,0.2,447525,148.10225449623746,300.3465004998725,100,15.0,20.0,0.9494949494949495,0.94,99
2000,1,89250953,bic,0.003800451229771041,447525,148.88926014375883,338.1997831999324,100,22.0,29.0,0.8942307692307693,0.93,104
2000,2,773956048,l0,0.2,500000,161.27317490113143,397.53746989998035,100,67.0,64.0,0.7476635514018691,0.8,107
2000,2,773956048,bic,0.003800451229771041,500000,159.24196999552245,415.0151899999473,100,75.0,73.0,0.6742424242424242,0.89,132
2000,3,654571518,l0,0.2,387600,150.73823110981462,320.28299370012246,100,19.0,21.0,0.9468085106382979,0.89,94
2000,3,654571518,bic,0.003800451229771041,387600,149.9230312835197,316.063305699965,100,19.0,20.0,0.9056603773584906,0.96,106
2000,4,438878439,l0,0.2,357000,145.41521877925317,297.6089345999062,100,34.0,35.0,0.8440366972477065,0.92,109
2000,4,438878439,bic,0.003800451229771041,357000,142.80002258017302,282.8414247999899,100,35.0,38.0,0.8151260504201681,0.97,119
2000,5,433015235,l0,0.2,500000,161.3991357082979,389.6065288998652,100,38.0,36.0,0.839622641509434,0.89,106
2000,5,433015235,bic,0.003800451229771041,492150,160.63284391657623,361.2861878001131,100,37.0,34.0,0.8032786885245902,0.98,122
2000,6,858597919,l0,0.2,500000,161.71792641809057,369.3942489998881,100,39.0,39.0,0.8181818181818182,0.9,110
2000,6,858597919,bic,0.003800451229771041,500000,161.22087738021958,396.3232120000757,100,49.0,45.0,0.7637795275590551,0.97,127
2000,7,201469535,l0,0.2,500000,165.6289554368155,392.3153153001331,100,51.0,50.0,0.8118811881188119,0.82,101
2000,7,201469535,bic,0.003800451229771041,500000,162.52302639745088,392.8735352999065,100,43.0,40.0,0.811965811965812,0.95,117
2000,8,94177347,l0,0.2,500000,161.0729301041399,365.5675890999846,100,56.0,52.0,0.8241758241758241,0.75,91
2000,8,94177347,bic,0.003800451229771041,500000,158.2853696555883,371.9194381998386,100,67.0,64.0,0.7,0.84,120
2000,9,526478978,l0,0.2,500000,167.95466264361548,425.4479316000361,100,49.0,44.0,0.7857142857142857,0.88,112
2000,9,526478978,bic,0.003800451229771041,500000,165.44491575111027,407.37458930001594,100,38.0,31.0,0.8319327731092437,0.99,119
2000,10,975622351,l0,0.2,500000,153.4809126874375,374.2224375999067,100,17.0,18.0,0.9578947368421052,0.91,95
2000,10,975622351,bic,0.003800451229771041,500000,152.5054700293575,426.34446160006337,100,22.0,23.0,0.8796296296296297,0.95,108
20000,1,89250953,l0,0.2,500000,158.5710639733556,399.4168497000355,100,25.0,29.0,0.8910891089108911,0.9,101
20000,1,89250953,bic,0.0004951743776268064,446250,156.63695316677138,367.4202531001065,100,50.0,49.0,0.768595041322314,0.93,121
20000,2,773956048,l0,0.2,500000,157.34540645620092,406.364534500055,100,45.0,42.0,0.7931034482758621,0.92,116
20000,2,773956048,bic,0.0004951743776268064,500000,155.7182390503575,361.07204660004936,100,37.0,32.0,0.8220338983050848,0.97,118
20000,3,654571518,l0,0.2,379950,149.34293760525355,274.8688586000353,100,39.0,40.0,0.8349514563106796,0.86,103
20000,3,654571518,bic,0.0004951743776268064,379950,148.83427365941353,345.1595517999958,100,40.0,39.0,0.8070175438596491,0.92,114
20000,4,438878439,l0,0.2,358275,139.7479592641182,297.0225838001352,100,25.0,26.0,0.9038461538461539,0.94,104
20000,4,438878439,bic,0.0004951743776268064,358275,139.62991411826192,270.84580849995837,100,22.0,23.0,0.8909090909090909,0.98,110
20000,5,433015235,l0,0.2,457725,159.77907025694577,376.46542320004664,100,25.0,23.0,0.9038461538461539,0.94,104
20000,5,433015235,bic,0.0004951743776268064,438600,158.70447617794667,356.84311790019274,100,24.0,26.0,0.8608695652173913,0.99,115
20000,6,858597919,l0,0.2,500000,160.68513145854814,414.96814600005746,100,43.0,35.0,0.8214285714285714,0.92,112
20000,6,858597919,bic,0.0004951743776268064,500000,158.69640102153605,367.8108603998553,100,41.0,33.0,0.8099173553719008,0.98,121
20000,7,201469535,l0,0.2,500000,163.23785962372725,319.62530570011586,100,26.0,28.0,0.9090909090909091,0.9,99
20000,7,201469535,bic,0.0004951743776268064,500000,163.7480353423884,336.7024519001134,100,23.0,20.0,0.9230769230769231,0.96,104
20000,8,94177347,l0,0.2,367200,164.505208355412,269.65671559982,100,55.0,51.0,0.8064516129032258,0.75,93
20000,8,94177347,bic,0.0004951743776268064,349350,162.16064082060296,258.19823829992674,100,63.0,59.0,0.7217391304347827,0.83,115
20000,9,526478978,l0,0.2,500000,165.88137088180127,381.48383229994215,100,25.0,18.0,0.9230769230769231,0.96,104
20000,9,526478978,bic,0.0004951743776268064,500000,165.32738679833176,350.2987756000366,100,24.0,18.0,0.908256880733945,0.99,109
20000,10,975622351,l0,0.2,500000,154.1189171376089,330.2957734998781,100,20.0,20.0,0.9468085106382979,0.89,94
20000,10,975622351,bic,0.0004951743776268064,481950,153.37162441630116,320.769315399928,100,14.0,14.0,0.9405940594059405,0.95,101
