trial_id,dataset_seed,algo_seed,algorithm,d,n_samples,degree,noise_type,b_scale,threshold,epochs_a,lambda_l0,score,true_score,score_gap_true,mec_match,shd,n_edges_true,n_edges_est,runtime_sec,n_epochs_run
1,20260406,18044244,cd_A_epoch,30,5000,2.0,gaussian_nv,1.0,0.05,500,0.1,52.28546241543468,59.08439686836745,-6.7989344529327695,0,15,30,37,29.893654899904504,199
2,20260406,604916791,cd_A_epoch,30,5000,2.0,gaussian_nv,1.0,0.05,500,0.1,52.23202829769848,59.08439686836745,-6.852368570668972,0,22,30,42,30.852555099874735,199
3,20260406,837616598,cd_A_epoch,30,5000,2.0,gaussian_nv,1.0,0.05,500,0.1,52.20273407431196,59.08439686836745,-6.881662794055487,0,16,30,38,30.132824199972674,199
4,20260406,805844143,cd_A_epoch,30,5000,2.0,gaussian_nv,1.0,0.05,500,0.1,52.25750014544782,59.08439686836745,-6.826896722919628,0,29,30,43,30.89449240011163,199
5,20260406,156042563,cd_A_epoch,30,5000,2.0,gaussian_nv,1.0,0.05,500,0.1,52.926533864737756,59.08439686836745,-6.157863003629693,0,14,30,34,28.947844699956477,199
6,20260406,872013665,cd_A_epoch,30,5000,2.0,gaussian_nv,1.0,0.05,500,0.1,52.712953000606255,59.08439686836745,-6.371443867761194,0,10,30,34,32.6398813999258,199
7,20260406,705505053,cd_A_epoch,30,5000,2.0,gaussian_nv,1.0,0.05,500,0.1,52.43491469538542,59.08439686836745,-6.649482172982026,0,20,30,38,30.165191100211814,199
8,20260406,59742985,cd_A_epoch,30,5000,2.0,gaussian_nv,1.0,0.05,500,0.1,52.45658541701884,59.08439686836745,-6.627811451348606,0,18,30,38,30.004631799878553,199
9,20260406,232705303,cd_A_epoch,30,5000,2.0,gaussian_nv,1.0,0.05,500,0.1,52.76518768540673,59.08439686836745,-6.319209182960719,0,27,30,41,31.170296699972823,199
10,20260406,520058555,cd_A_epoch,30,5000,2.0,gaussian_nv,1.0,0.05,500,0.1,52.17590821835462,59.08439686836745,-6.908488650012828,0,27,30,47,31.268988699885085,199
11,20260406,122644180,cd_A_epoch,30,5000,2.0,gaussian_nv,1.0,0.05,500,0.1,52.2198959078599,59.08439686836745,-6.864500960507549,0,18,30,38,29.80085560004227,199
