trial_id,data_seed,algorithm,history_len,graph_history_len,full_run_runtime_sec,final_objective,final_edges
1,218858081,CD_A,100000,100000,36.54836479993537,22071.71521094931,44
1,218858081,CD_A_epoch,477,100170,30.268844099948183,1380796.580614435,63
2,457189129,CD_A,100000,100000,44.9900833000429,2212.9880765708194,67
2,457189129,CD_A_epoch,477,100170,36.427927299868315,540.0727352293353,76
3,312377554,CD_A,100000,100000,40.08173849992454,321.7198626521064,75
3,312377554,CD_A_epoch,477,100170,38.795474499929696,233.6784255583781,77
4,56581769,CD_A,100000,100000,41.31864880002104,82616.58369485088,61
4,56581769,CD_A_epoch,477,100170,28.45162919978611,2192.490916375171,46
5,514544373,CD_A,100000,100000,45.08316239994019,95.74615718845155,63
5,514544373,CD_A_epoch,477,100170,32.803152800071985,50.80215755316065,46
