d,n_samples,trial_id,seed,algorithm,mec_match,shd,cpdag_shd,n_edges_true,n_edges_est,runtime_sec,actual_steps
20,20000,1,89250953,cd_A_noepoch,0,16.0,15.0,23,29,4.0150603000074625,11970
20,20000,1,89250953,greedy_cd_A_noepoch,0,33.0,32.0,23,32,31.650188100058585,3990
20,20000,2,773956048,cd_A_noepoch,0,10.0,8.0,25,28,3.3356843998190016,11550
20,20000,2,773956048,greedy_cd_A_noepoch,0,40.0,40.0,25,31,34.83247060002759,3990
20,20000,3,654571518,cd_A_noepoch,0,7.0,5.0,20,17,2.150369399925694,7140
20,20000,3,654571518,greedy_cd_A_noepoch,0,27.0,25.0,20,21,35.00207669986412,3990
20,20000,4,438878439,cd_A_noepoch,0,10.0,13.0,23,23,3.0215511000715196,10920
20,20000,4,438878439,greedy_cd_A_noepoch,0,38.0,37.0,23,23,35.972941499901935,3990
20,20000,5,433015235,cd_A_noepoch,1,1.0,0.0,13,13,2.5263623998034745,7560
20,20000,5,433015235,greedy_cd_A_noepoch,0,9.0,5.0,13,13,11.286636300152168,1702
30,20000,1,858597919,cd_A_noepoch,0,14.0,12.0,21,21,6.683370700106025,18600
30,20000,1,858597919,greedy_cd_A_noepoch,0,30.0,27.0,21,23,38.08891510008834,1790
30,20000,2,201469535,cd_A_noepoch,0,32.0,32.0,38,44,18.003672000020742,47895
30,20000,2,201469535,greedy_cd_A_noepoch,0,56.0,54.0,38,49,245.9771422999911,8835
30,20000,3,94177347,cd_A_noepoch,0,12.0,9.0,30,25,10.013076200149953,28365
30,20000,3,94177347,greedy_cd_A_noepoch,0,45.0,44.0,30,33,157.06030069990084,6432
30,20000,4,526478978,cd_A_noepoch,0,15.0,15.0,29,28,7.53001939994283,20925
30,20000,4,526478978,greedy_cd_A_noepoch,0,41.0,36.0,29,35,119.32998090004548,5006
30,20000,5,975622351,cd_A_noepoch,0,30.0,30.0,33,42,8.546889200108126,23715
30,20000,5,975622351,greedy_cd_A_noepoch,0,63.0,63.0,33,53,255.17050439980812,8835
