algorithm,d,n_samples,mec_match_mean,shd_mean,cpdag_shd_mean,runtime_sec_mean,trials,actual_steps_mean,actual_steps_min,actual_steps_max,mask_keep_ratio_mean
baseline,30,20000,0.0,20.9,36.3,9.806109219999053,10,30829.5,18600,47895,1.0
wf_corr+pcorr_tau0.02,30,20000,0.0,17.8,29.9,7.789965480001411,10,27760.5,15810,53940,0.26275862068965516
wf_corr+pcorr_tau0.05,30,20000,0.0,16.2,33.8,8.037713779992192,10,27900.0,15345,55335,0.25517241379310346
wf_corr+pcorr_tau0.1,30,20000,0.0,21.5,42.9,8.21376467999653,10,28690.5,13950,60915,0.24091954022988507
wf_corr+pcorr_tau0.2,30,20000,0.0,19.0,36.1,8.027380850008921,10,28504.5,14880,71610,0.20620689655172414
wf_corr_tau0.02,30,20000,0.0,15.7,25.4,7.650107249984285,10,27295.5,14415,60450,0.22275862068965518
wf_corr_tau0.05,30,20000,0.0,14.7,23.9,8.604215379990638,10,30597.0,14415,68820,0.21816091954022987
wf_corr_tau0.1,30,20000,0.0,13.1,23.3,8.860515580011997,10,31434.0,15345,67890,0.20367816091954025
wf_corr_tau0.2,30,20000,0.0,14.4,26.2,7.588810549996561,10,26830.5,18135,43245,0.17471264367816092
wf_glasso_tau0.02,30,20000,0.2,11.0,17.7,9.12224008999765,10,28876.5,14880,41850,0.14160919540229885
wf_glasso_tau0.05,30,20000,0.1,8.1,12.7,8.857914630003506,10,27435.0,14880,44175,0.11540229885057471
wf_glasso_tau0.1,30,20000,0.0,9.3,17.2,9.738769679993856,10,29946.0,14880,67425,0.1
wf_glasso_tau0.2,30,20000,0.0,7.6,13.3,10.389541409997037,10,31620.0,13020,84630,0.07977011494252874
wf_pcorr_tau0.02,30,20000,0.2,4.5,5.1,8.720524470001692,10,28597.5,15345,43710,0.11241379310344828
wf_pcorr_tau0.05,30,20000,0.3,3.3,3.6,9.18179749000701,10,30318.0,16275,43710,0.107816091954023
wf_pcorr_tau0.1,30,20000,0.1,3.9,5.3,9.243768860003911,10,30085.5,16275,53940,0.10574712643678161
wf_pcorr_tau0.2,30,20000,0.0,8.4,14.3,9.101771819998977,10,30225.0,11625,50220,0.09172413793103448
