d,n_samples,trial_id,seed,algorithm,mec_match,shd,cpdag_shd,n_edges_true,n_edges_est,runtime_sec,actual_steps,mask_keep_ratio,mask_total_offdiag,mask_tau,mask_n_screens,mask_allowed_count,mask_zero_count,mask_zero_ratio,mask_corr_zero_count,mask_corr_allowed_count,mask_corr_zero_ratio,mask_corr_keep_ratio,mask_pcorr_zero_count,mask_pcorr_allowed_count,mask_pcorr_zero_ratio,mask_pcorr_keep_ratio,mask_glasso_zero_count,mask_glasso_allowed_count,mask_glasso_zero_ratio,mask_glasso_keep_ratio,mask_overlap_corr_pcorr_count,mask_overlap_corr_pcorr_union_count,mask_overlap_corr_pcorr_jaccard,mask_overlap_corr_pcorr_overlap_ratio,mask_overlap_all_count,mask_overlap_all_union_count,mask_overlap_all_jaccard
30,20000,1,89250953,baseline,0,14.0,16.0,27,26,9.434171500033699,21390,1.0,870,0.0,1,870,0,0.0,,,,,,,,,,,,,,,,,,,
30,20000,1,89250953,wf_corr_tau0.02,0,17.0,30.0,27,24,5.939234600053169,14415,0.15402298850574714,870,0.02,1,134,736,0.8459770114942529,736.0,134.0,0.8459770114942529,0.15402298850574714,,,,,,,,,,,,,,,
30,20000,1,89250953,wf_corr_tau0.05,0,14.0,26.0,27,26,5.950382099952549,14415,0.15172413793103448,870,0.05,1,132,738,0.8482758620689655,738.0,132.0,0.8482758620689655,0.15172413793103448,,,,,,,,,,,,,,,
30,20000,1,89250953,wf_corr_tau0.1,0,13.0,22.0,27,27,7.2805893999757245,16740,0.14482758620689656,870,0.1,1,126,744,0.8551724137931035,744.0,126.0,0.8551724137931035,0.14482758620689656,,,,,,,,,,,,,,,
30,20000,1,89250953,wf_corr_tau0.2,0,7.0,9.0,27,26,8.31409999995958,18600,0.12873563218390804,870,0.2,1,112,758,0.871264367816092,758.0,112.0,0.871264367816092,0.12873563218390804,,,,,,,,,,,,,,,
30,20000,1,89250953,wf_pcorr_tau0.02,1,2.0,0.0,27,27,6.848082400043495,15810,0.09885057471264368,870,0.02,1,86,784,0.9011494252873563,,,,,784.0,86.0,0.9011494252873563,0.09885057471264368,,,,,,,,,,,
30,20000,1,89250953,wf_pcorr_tau0.05,1,1.0,0.0,27,27,7.343587200040929,16275,0.09195402298850575,870,0.05,1,80,790,0.9080459770114943,,,,,790.0,80.0,0.9080459770114943,0.09195402298850575,,,,,,,,,,,
30,20000,1,89250953,wf_pcorr_tau0.1,1,1.0,0.0,27,27,7.472132300026715,16275,0.09195402298850575,870,0.1,1,80,790,0.9080459770114943,,,,,790.0,80.0,0.9080459770114943,0.09195402298850575,,,,,,,,,,,
30,20000,1,89250953,wf_pcorr_tau0.2,0,9.0,13.0,27,22,5.624742000014521,11625,0.0735632183908046,870,0.2,1,64,806,0.9264367816091954,,,,,806.0,64.0,0.9264367816091954,0.0735632183908046,,,,,,,,,,,
30,20000,1,89250953,wf_glasso_tau0.02,1,1.0,0.0,27,27,8.552073500002734,14880,0.10574712643678161,870,0.02,1,92,778,0.8942528735632184,,,,,,,,,778.0,92.0,0.8942528735632184,0.10574712643678161,,,,,,,
30,20000,1,89250953,wf_glasso_tau0.05,0,9.0,18.0,27,26,8.462915900046937,14880,0.09655172413793103,870,0.05,1,84,786,0.903448275862069,,,,,,,,,786.0,84.0,0.903448275862069,0.09655172413793103,,,,,,,
30,20000,1,89250953,wf_glasso_tau0.1,0,4.0,2.0,27,26,8.650536199915223,14880,0.09195402298850575,870,0.1,1,80,790,0.9080459770114943,,,,,,,,,790.0,80.0,0.9080459770114943,0.09195402298850575,,,,,,,
30,20000,1,89250953,wf_glasso_tau0.2,0,10.0,14.0,27,21,8.40591009997297,13485,0.059770114942528735,870,0.2,1,52,818,0.9402298850574713,,,,,,,,,818.0,52.0,0.9402298850574713,0.059770114942528735,,,,,,,
30,20000,1,89250953,wf_corr+pcorr_tau0.02,0,15.0,22.0,27,27,6.627378799952567,15810,0.19080459770114944,870,0.02,2,166,704,0.8091954022988506,736.0,134.0,0.8459770114942529,0.15402298850574714,784.0,86.0,0.9011494252873563,0.09885057471264368,,,,,704.0,816.0,0.8627450980392157,0.9565217391304348,704.0,816.0,0.8627450980392157
30,20000,1,89250953,wf_corr+pcorr_tau0.05,0,6.0,6.0,27,26,5.635635799961165,15345,0.18160919540229886,870,0.05,2,158,712,0.8183908045977012,738.0,132.0,0.8482758620689655,0.15172413793103448,790.0,80.0,0.9080459770114943,0.09195402298850575,,,,,712.0,816.0,0.8725490196078431,0.964769647696477,712.0,816.0,0.8725490196078431
30,20000,1,89250953,wf_corr+pcorr_tau0.1,0,14.0,24.0,27,28,6.16475899994839,13950,0.17471264367816092,870,0.1,2,152,718,0.825287356321839,744.0,126.0,0.8551724137931035,0.14482758620689656,790.0,80.0,0.9080459770114943,0.09195402298850575,,,,,718.0,816.0,0.8799019607843137,0.9650537634408602,718.0,816.0,0.8799019607843137
30,20000,1,89250953,wf_corr+pcorr_tau0.2,0,14.0,22.0,27,28,6.643660100060515,14880,0.14482758620689656,870,0.2,2,126,744,0.8551724137931035,758.0,112.0,0.871264367816092,0.12873563218390804,806.0,64.0,0.9264367816091954,0.0735632183908046,,,,,744.0,820.0,0.9073170731707317,0.9815303430079155,744.0,820.0,0.9073170731707317
30,20000,2,773956048,baseline,0,15.0,24.0,30,33,11.104673799942248,23715,1.0,870,0.0,1,870,0,0.0,,,,,,,,,,,,,,,,,,,
30,20000,2,773956048,wf_corr_tau0.02,0,15.0,31.0,30,31,11.772190700052306,27900,0.19080459770114944,870,0.02,1,166,704,0.8091954022988506,704.0,166.0,0.8091954022988506,0.19080459770114944,,,,,,,,,,,,,,,
30,20000,2,773956048,wf_corr_tau0.05,0,11.0,16.0,30,30,11.805953699979,27435,0.1793103448275862,870,0.05,1,156,714,0.8206896551724138,714.0,156.0,0.8206896551724138,0.1793103448275862,,,,,,,,,,,,,,,
30,20000,2,773956048,wf_corr_tau0.1,0,11.0,16.0,30,30,11.68552069994621,27435,0.1793103448275862,870,0.1,1,156,714,0.8206896551724138,714.0,156.0,0.8206896551724138,0.1793103448275862,,,,,,,,,,,,,,,
30,20000,2,773956048,wf_corr_tau0.2,0,19.0,27.0,30,29,7.04933800001163,18135,0.15632183908045977,870,0.2,1,136,734,0.8436781609195402,734.0,136.0,0.8436781609195402,0.15632183908045977,,,,,,,,,,,,,,,
30,20000,2,773956048,wf_pcorr_tau0.02,0,9.0,9.0,30,29,11.577046999940649,25110,0.11724137931034483,870,0.02,1,102,768,0.8827586206896552,,,,,768.0,102.0,0.8827586206896552,0.11724137931034483,,,,,,,,,,,
30,20000,2,773956048,wf_pcorr_tau0.05,0,4.0,6.0,30,28,14.672313500079326,31620,0.10804597701149425,870,0.05,1,94,776,0.8919540229885058,,,,,776.0,94.0,0.8919540229885058,0.10804597701149425,,,,,,,,,,,
30,20000,2,773956048,wf_pcorr_tau0.1,0,4.0,6.0,30,28,14.411927899927832,31620,0.10804597701149425,870,0.1,1,94,776,0.8919540229885058,,,,,776.0,94.0,0.8919540229885058,0.10804597701149425,,,,,,,,,,,
30,20000,2,773956048,wf_pcorr_tau0.2,0,7.0,14.0,30,24,14.0948945999844,30690,0.09885057471264368,870,0.2,1,86,784,0.9011494252873563,,,,,784.0,86.0,0.9011494252873563,0.09885057471264368,,,,,,,,,,,
30,20000,2,773956048,wf_glasso_tau0.02,0,16.0,21.0,30,32,12.098683000076562,28830,0.1310344827586207,870,0.02,1,114,756,0.8689655172413793,,,,,,,,,756.0,114.0,0.8689655172413793,0.1310344827586207,,,,,,,
30,20000,2,773956048,wf_glasso_tau0.05,0,6.0,11.0,30,30,9.785051199956797,21855,0.11264367816091954,870,0.05,1,98,772,0.8873563218390804,,,,,,,,,772.0,98.0,0.8873563218390804,0.11264367816091954,,,,,,,
30,20000,2,773956048,wf_glasso_tau0.1,0,9.0,17.0,30,27,14.098906000028364,31620,0.10114942528735632,870,0.1,1,88,782,0.8988505747126436,,,,,,,,,782.0,88.0,0.8988505747126436,0.10114942528735632,,,,,,,
30,20000,2,773956048,wf_glasso_tau0.2,0,10.0,18.0,30,29,14.008078500046395,29760,0.09425287356321839,870,0.2,1,82,788,0.9057471264367816,,,,,,,,,788.0,82.0,0.9057471264367816,0.09425287356321839,,,,,,,
30,20000,2,773956048,wf_corr+pcorr_tau0.02,0,22.0,34.0,30,31,9.714859200059436,23250,0.23218390804597702,870,0.02,2,202,668,0.767816091954023,704.0,166.0,0.8091954022988506,0.19080459770114944,768.0,102.0,0.8827586206896552,0.11724137931034483,,,,,668.0,804.0,0.8308457711442786,0.9488636363636364,668.0,804.0,0.8308457711442786
30,20000,2,773956048,wf_corr+pcorr_tau0.05,0,12.0,20.0,30,31,9.24631680001039,22320,0.2206896551724138,870,0.05,2,192,678,0.7793103448275862,714.0,156.0,0.8206896551724138,0.1793103448275862,776.0,94.0,0.8919540229885058,0.10804597701149425,,,,,678.0,812.0,0.8349753694581281,0.9495798319327731,678.0,812.0,0.8349753694581281
30,20000,2,773956048,wf_corr+pcorr_tau0.1,0,12.0,20.0,30,31,8.630302699981257,22320,0.2206896551724138,870,0.1,2,192,678,0.7793103448275862,714.0,156.0,0.8206896551724138,0.1793103448275862,776.0,94.0,0.8919540229885058,0.10804597701149425,,,,,678.0,812.0,0.8349753694581281,0.9495798319327731,678.0,812.0,0.8349753694581281
30,20000,2,773956048,wf_corr+pcorr_tau0.2,0,24.0,39.0,30,30,9.17544010002166,22320,0.19540229885057472,870,0.2,2,170,700,0.8045977011494253,734.0,136.0,0.8436781609195402,0.15632183908045977,784.0,86.0,0.9011494252873563,0.09885057471264368,,,,,700.0,818.0,0.8557457212713936,0.9536784741144414,700.0,818.0,0.8557457212713936
30,20000,3,654571518,baseline,0,25.0,56.0,31,40,22.29608050000388,47430,1.0,870,0.0,1,870,0,0.0,,,,,,,,,,,,,,,,,,,
30,20000,3,654571518,wf_corr_tau0.02,0,17.0,21.0,31,29,17.325422899913974,42315,0.23908045977011494,870,0.02,1,208,662,0.7609195402298851,662.0,208.0,0.7609195402298851,0.23908045977011494,,,,,,,,,,,,,,,
30,20000,3,654571518,wf_corr_tau0.05,0,23.0,44.0,31,32,27.081009999965318,68820,0.2367816091954023,870,0.05,1,206,664,0.7632183908045977,664.0,206.0,0.7632183908045977,0.2367816091954023,,,,,,,,,,,,,,,
30,20000,3,654571518,wf_corr_tau0.1,0,18.0,35.0,31,31,24.44192750006914,59520,0.2160919540229885,870,0.1,1,188,682,0.7839080459770115,682.0,188.0,0.7839080459770115,0.2160919540229885,,,,,,,,,,,,,,,
30,20000,3,654571518,wf_corr_tau0.2,0,23.0,51.0,31,32,15.458537900005467,39060,0.19310344827586207,870,0.2,1,168,702,0.8068965517241379,702.0,168.0,0.8068965517241379,0.19310344827586207,,,,,,,,,,,,,,,
30,20000,3,654571518,wf_pcorr_tau0.02,0,7.0,12.0,31,31,16.89363669999875,39525,0.1310344827586207,870,0.02,1,114,756,0.8689655172413793,,,,,756.0,114.0,0.8689655172413793,0.1310344827586207,,,,,,,,,,,
30,20000,3,654571518,wf_pcorr_tau0.05,1,3.0,0.0,31,31,19.16793640004471,42780,0.12643678160919541,870,0.05,1,110,760,0.8735632183908046,,,,,760.0,110.0,0.8735632183908046,0.12643678160919541,,,,,,,,,,,
30,20000,3,654571518,wf_pcorr_tau0.1,0,10.0,16.0,31,34,13.002515700063668,29295,0.12413793103448276,870,0.1,1,108,762,0.8758620689655172,,,,,762.0,108.0,0.8758620689655172,0.12413793103448276,,,,,,,,,,,
30,20000,3,654571518,wf_pcorr_tau0.2,0,10.0,17.0,31,30,20.281521699973382,48360,0.11264367816091954,870,0.2,1,98,772,0.8873563218390804,,,,,772.0,98.0,0.8873563218390804,0.11264367816091954,,,,,,,,,,,
30,20000,3,654571518,wf_glasso_tau0.02,0,12.0,13.0,31,34,17.06406910007354,41850,0.19540229885057472,870,0.02,1,170,700,0.8045977011494253,,,,,,,,,700.0,170.0,0.8045977011494253,0.19540229885057472,,,,,,,
30,20000,3,654571518,wf_glasso_tau0.05,0,9.0,17.0,31,32,19.3113889999222,44175,0.13333333333333333,870,0.05,1,116,754,0.8666666666666667,,,,,,,,,754.0,116.0,0.8666666666666667,0.13333333333333333,,,,,,,
30,20000,3,654571518,wf_glasso_tau0.1,0,18.0,35.0,31,33,30.70819399994798,67425,0.09655172413793103,870,0.1,1,84,786,0.903448275862069,,,,,,,,,786.0,84.0,0.903448275862069,0.09655172413793103,,,,,,,
30,20000,3,654571518,wf_glasso_tau0.2,0,4.0,14.0,31,27,38.53076130000409,84630,0.07586206896551724,870,0.2,1,66,804,0.9241379310344827,,,,,,,,,804.0,66.0,0.9241379310344827,0.07586206896551724,,,,,,,
30,20000,3,654571518,wf_corr+pcorr_tau0.02,0,15.0,24.0,31,35,15.235083600040525,37200,0.2942528735632184,870,0.02,2,256,614,0.7057471264367816,662.0,208.0,0.7609195402298851,0.23908045977011494,756.0,114.0,0.8689655172413793,0.1310344827586207,,,,,614.0,804.0,0.763681592039801,0.9274924471299094,614.0,804.0,0.763681592039801
30,20000,3,654571518,wf_corr+pcorr_tau0.05,0,31.0,91.0,31,43,19.789500699960627,46965,0.2896551724137931,870,0.05,2,252,618,0.7103448275862069,664.0,206.0,0.7632183908045977,0.2367816091954023,760.0,110.0,0.8735632183908046,0.12643678160919541,,,,,618.0,806.0,0.7667493796526055,0.9307228915662651,618.0,806.0,0.7667493796526055
30,20000,3,654571518,wf_corr+pcorr_tau0.1,0,28.0,69.0,31,43,16.603996000019833,40920,0.2689655172413793,870,0.1,2,234,636,0.7310344827586207,682.0,188.0,0.7839080459770115,0.2160919540229885,762.0,108.0,0.8758620689655172,0.12413793103448276,,,,,636.0,808.0,0.7871287128712872,0.9325513196480938,636.0,808.0,0.7871287128712872
30,20000,3,654571518,wf_corr+pcorr_tau0.2,0,26.0,60.0,31,34,29.497595000080764,71610,0.23908045977011494,870,0.2,2,208,662,0.7609195402298851,702.0,168.0,0.8068965517241379,0.19310344827586207,772.0,98.0,0.8873563218390804,0.11264367816091954,,,,,662.0,812.0,0.8152709359605911,0.9430199430199431,662.0,812.0,0.8152709359605911
30,20000,4,438878439,baseline,0,32.0,63.0,33,47,23.26934700005222,47430,1.0,870,0.0,1,870,0,0.0,,,,,,,,,,,,,,,,,,,
