d,n_samples,trial_id,seed,algorithm,mec_match,shd,cpdag_shd,n_edges_true,n_edges_est,runtime_sec,actual_steps,mask_keep_ratio
30,20000,1,89250953,baseline,0,14.0,16.0,27,26,6.933142299996689,21390,1.0
30,20000,1,89250953,wf_corr_tau0.02,0,17.0,30.0,27,24,4.588989599957131,14415,0.15402298850574714
30,20000,1,89250953,wf_corr_tau0.05,0,14.0,26.0,27,26,4.97970919997897,14415,0.15172413793103448
30,20000,1,89250953,wf_corr_tau0.1,0,13.0,22.0,27,27,5.924324200022966,16740,0.14482758620689656
30,20000,1,89250953,wf_corr_tau0.2,0,7.0,9.0,27,26,5.4142039000289515,18600,0.12873563218390804
30,20000,1,89250953,wf_pcorr_tau0.02,1,2.0,0.0,27,27,5.178391699970234,15810,0.09885057471264368
30,20000,1,89250953,wf_pcorr_tau0.05,1,1.0,0.0,27,27,5.060402900038753,16275,0.09195402298850575
30,20000,1,89250953,wf_pcorr_tau0.1,1,1.0,0.0,27,27,5.184319100051653,16275,0.09195402298850575
30,20000,1,89250953,wf_pcorr_tau0.2,0,9.0,13.0,27,22,3.5508809000020847,11625,0.0735632183908046
30,20000,1,89250953,wf_glasso_tau0.02,1,1.0,0.0,27,27,5.785134699952323,14880,0.10574712643678161
30,20000,1,89250953,wf_glasso_tau0.05,0,9.0,18.0,27,26,5.715068500023335,14880,0.09655172413793103
30,20000,1,89250953,wf_glasso_tau0.1,0,4.0,2.0,27,26,5.756776100024581,14880,0.09195402298850575
30,20000,1,89250953,wf_glasso_tau0.2,0,10.0,14.0,27,21,5.181417700019665,13485,0.059770114942528735
30,20000,1,89250953,wf_corr+pcorr_tau0.02,0,15.0,22.0,27,27,4.6480824000318535,15810,0.19080459770114944
30,20000,1,89250953,wf_corr+pcorr_tau0.05,0,6.0,6.0,27,26,4.492160999972839,15345,0.18160919540229886
30,20000,1,89250953,wf_corr+pcorr_tau0.1,0,14.0,24.0,27,28,4.396283100009896,13950,0.17471264367816092
30,20000,1,89250953,wf_corr+pcorr_tau0.2,0,14.0,22.0,27,28,4.075091700011399,14880,0.14482758620689656
30,20000,2,773956048,baseline,0,15.0,24.0,30,33,7.557716100011021,23715,1.0
30,20000,2,773956048,wf_corr_tau0.02,0,15.0,31.0,30,31,7.778091399988625,27900,0.19080459770114944
30,20000,2,773956048,wf_corr_tau0.05,0,11.0,16.0,30,30,7.65360929997405,27435,0.1793103448275862
30,20000,2,773956048,wf_corr_tau0.1,0,11.0,16.0,30,30,7.881796300003771,27435,0.1793103448275862
30,20000,2,773956048,wf_corr_tau0.2,0,19.0,27.0,30,29,5.3438440000172704,18135,0.15632183908045977
30,20000,2,773956048,wf_pcorr_tau0.02,0,9.0,9.0,30,29,7.607072299986612,25110,0.11724137931034483
30,20000,2,773956048,wf_pcorr_tau0.05,0,4.0,6.0,30,28,9.590355099993758,31620,0.10804597701149425
30,20000,2,773956048,wf_pcorr_tau0.1,0,4.0,6.0,30,28,10.00826520001283,31620,0.10804597701149425
30,20000,2,773956048,wf_pcorr_tau0.2,0,7.0,14.0,30,24,9.365593799971975,30690,0.09885057471264368
30,20000,2,773956048,wf_glasso_tau0.02,0,16.0,21.0,30,32,8.148324600013439,28830,0.1310344827586207
30,20000,2,773956048,wf_glasso_tau0.05,0,6.0,11.0,30,30,7.19807949999813,21855,0.11264367816091954
30,20000,2,773956048,wf_glasso_tau0.1,0,9.0,17.0,30,27,9.870942200010177,31620,0.10114942528735632
30,20000,2,773956048,wf_glasso_tau0.2,0,10.0,18.0,30,29,9.354999499977566,29760,0.09425287356321839
30,20000,2,773956048,wf_corr+pcorr_tau0.02,0,22.0,34.0,30,31,6.710380700009409,23250,0.23218390804597702
30,20000,2,773956048,wf_corr+pcorr_tau0.05,0,12.0,20.0,30,31,6.279534599976614,22320,0.2206896551724138
30,20000,2,773956048,wf_corr+pcorr_tau0.1,0,12.0,20.0,30,31,6.763665199978277,22320,0.2206896551724138
30,20000,2,773956048,wf_corr+pcorr_tau0.2,0,24.0,39.0,30,30,6.305817200045567,22320,0.19540229885057472
30,20000,3,654571518,baseline,0,25.0,56.0,31,40,15.304563199984841,47430,1.0
30,20000,3,654571518,wf_corr_tau0.02,0,17.0,21.0,31,29,11.902236399997491,42315,0.23908045977011494
30,20000,3,654571518,wf_corr_tau0.05,0,23.0,44.0,31,32,18.798056400031783,68820,0.2367816091954023
30,20000,3,654571518,wf_corr_tau0.1,0,18.0,35.0,31,31,16.612820599984843,59520,0.2160919540229885
30,20000,3,654571518,wf_corr_tau0.2,0,23.0,51.0,31,32,10.668942499964032,39060,0.19310344827586207
30,20000,3,654571518,wf_pcorr_tau0.02,0,7.0,12.0,31,31,11.899880000040866,39525,0.1310344827586207
30,20000,3,654571518,wf_pcorr_tau0.05,1,3.0,0.0,31,31,12.72298859996954,42780,0.12643678160919541
30,20000,3,654571518,wf_pcorr_tau0.1,0,10.0,16.0,31,34,8.796961099957116,29295,0.12413793103448276
30,20000,3,654571518,wf_pcorr_tau0.2,0,10.0,17.0,31,30,13.878276299976278,48360,0.11264367816091954
30,20000,3,654571518,wf_glasso_tau0.02,0,12.0,13.0,31,34,12.12334859999828,41850,0.19540229885057472
30,20000,3,654571518,wf_glasso_tau0.05,0,9.0,17.0,31,32,12.833750100049656,44175,0.13333333333333333
30,20000,3,654571518,wf_glasso_tau0.1,0,18.0,35.0,31,33,20.376126499962993,67425,0.09655172413793103
30,20000,3,654571518,wf_glasso_tau0.2,0,4.0,14.0,31,27,26.220124599989504,84630,0.07586206896551724
30,20000,3,654571518,wf_corr+pcorr_tau0.02,0,15.0,24.0,31,35,10.421899000008125,37200,0.2942528735632184
30,20000,3,654571518,wf_corr+pcorr_tau0.05,0,31.0,91.0,31,43,13.210318599944003,46965,0.2896551724137931
30,20000,3,654571518,wf_corr+pcorr_tau0.1,0,28.0,69.0,31,43,11.5289432000136,40920,0.2689655172413793
30,20000,3,654571518,wf_corr+pcorr_tau0.2,0,26.0,60.0,31,34,19.577013300033286,71610,0.23908045977011494
30,20000,4,438878439,baseline,0,32.0,63.0,33,47,15.447674199996982,47430,1.0
30,20000,4,438878439,wf_corr_tau0.02,0,17.0,32.0,33,37,7.227043299993966,26040,0.2988505747126437
30,20000,4,438878439,wf_corr_tau0.05,0,18.0,29.0,33,36,8.493302699993365,30225,0.29195402298850576
30,20000,4,438878439,wf_corr_tau0.1,0,15.0,27.0,33,34,7.455788400024176,26040,0.26436781609195403
30,20000,4,438878439,wf_corr_tau0.2,0,29.0,46.0,33,36,7.523827800003346,26040,0.20919540229885059
30,20000,4,438878439,wf_pcorr_tau0.02,0,4.0,2.0,33,34,8.875626299995929,29760,0.12183908045977011
30,20000,4,438878439,wf_pcorr_tau0.05,0,4.0,2.0,33,34,9.014519100019243,29295,0.11494252873563218
30,20000,4,438878439,wf_pcorr_tau0.1,0,4.0,2.0,33,32,10.10778369999025,31155,0.11264367816091954
30,20000,4,438878439,wf_pcorr_tau0.2,0,7.0,10.0,33,29,8.787789200025145,27900,0.09425287356321839
30,20000,4,438878439,wf_glasso_tau0.02,0,23.0,56.0,33,42,10.276307399966754,30690,0.18620689655172415
30,20000,4,438878439,wf_glasso_tau0.05,0,21.0,36.0,33,37,9.766048600024078,28365,0.135632183908046
30,20000,4,438878439,wf_glasso_tau0.1,0,4.0,7.0,33,31,9.126793599978555,26040,0.10804597701149425
30,20000,4,438878439,wf_glasso_tau0.2,0,8.0,16.0,33,29,8.135636399965733,21390,0.0896551724137931
