trial_id,dataset_seed,algo_seed,algorithm,objective_name,budget_type,budget_requested,d,n_samples,degree,noise_type,b_scale,threshold,lambda_l0,score,true_score,score_gap_true,mec_match,shd,n_edges_true,n_edges_est,runtime_sec,n_steps_run
1,20260406,18044244,cd_A,f_A,iter,100000,30,30000,2.0,gaussian_nv,1.0,0.05,0.1,56.66396976909117,61.51571347487894,-4.851743705787776,0,8,30,34,47.94485040009022,100000
2,20260406,604916791,cd_A,f_A,iter,100000,30,30000,2.0,gaussian_nv,1.0,0.05,0.1,57.17150423482276,61.51571347487894,-4.3442092400561805,0,16,30,36,47.24680510000326,100000
3,20260406,837616598,cd_A,f_A,iter,100000,30,30000,2.0,gaussian_nv,1.0,0.05,0.1,57.100682248740014,61.51571347487894,-4.415031226138929,0,27,30,41,50.91345279989764,100000
4,20260406,805844143,cd_A,f_A,iter,100000,30,30000,2.0,gaussian_nv,1.0,0.05,0.1,57.201360028445826,61.51571347487894,-4.314353446433117,0,21,30,35,46.527659700019285,100000
5,20260406,156042563,cd_A,f_A,iter,100000,30,30000,2.0,gaussian_nv,1.0,0.05,0.1,58.05362211354529,61.51571347487894,-3.4620913613336555,0,31,30,45,47.0281704000663,100000
6,20260406,872013665,cd_A,f_A,iter,100000,30,30000,2.0,gaussian_nv,1.0,0.05,0.1,57.01432321570855,61.51571347487894,-4.5013902591703925,0,23,30,39,47.669326700037345,100000
7,20260406,705505053,cd_A,f_A,iter,100000,30,30000,2.0,gaussian_nv,1.0,0.05,0.1,56.983152203576964,61.51571347487894,-4.532561271301979,0,28,30,42,47.710983199998736,100000
8,20260406,59742985,cd_A,f_A,iter,100000,30,30000,2.0,gaussian_nv,1.0,0.05,0.1,57.165822012379536,61.51571347487894,-4.349891462499407,0,12,30,32,41.27343599987216,100000
9,20260406,232705303,cd_A,f_A,iter,100000,30,30000,2.0,gaussian_nv,1.0,0.05,0.1,57.011006410475716,61.51571347487894,-4.504707064403227,0,30,30,42,42.73767050006427,100000
10,20260406,520058555,cd_A,f_A,iter,100000,30,30000,2.0,gaussian_nv,1.0,0.05,0.1,57.43087509744411,61.51571347487894,-4.084838377434835,0,44,30,54,42.10817290004343,100000
11,20260406,122644180,cd_A,f_A,iter,100000,30,30000,2.0,gaussian_nv,1.0,0.05,0.1,56.886774723686926,61.51571347487894,-4.628938751192017,0,16,30,38,40.6225376999937,100000
12,20260406,660937230,cd_A,f_A,iter,100000,30,30000,2.0,gaussian_nv,1.0,0.05,0.1,57.41442281322197,61.51571347487894,-4.101290661656975,0,21,30,35,47.463835899950936,100000
13,20260406,805466938,cd_A,f_A,iter,100000,30,30000,2.0,gaussian_nv,1.0,0.05,0.1,57.546624444100566,61.51571347487894,-3.9690890307783775,0,22,30,42,76.09952869988047,100000
14,20260406,520305401,cd_A,f_A,iter,100000,30,30000,2.0,gaussian_nv,1.0,0.05,0.1,58.64826458841132,61.51571347487894,-2.8674488864676206,0,36,30,42,76.11329409992322,100000
15,20260406,531151352,cd_A,f_A,iter,100000,30,30000,2.0,gaussian_nv,1.0,0.05,0.1,58.78644720977442,61.51571347487894,-2.7292662651045205,0,36,30,44,74.92465840000659,100000
16,20260406,253550752,cd_A,f_A,iter,100000,30,30000,2.0,gaussian_nv,1.0,0.05,0.1,57.108722192243285,61.51571347487894,-4.4069912826356585,0,28,30,42,75.88996319985017,100000
17,20260406,306030736,cd_A,f_A,iter,100000,30,30000,2.0,gaussian_nv,1.0,0.05,0.1,57.05432684733852,61.51571347487894,-4.461386627540421,0,25,30,39,81.35464639985003,100000
18,20260406,852304042,cd_A,f_A,iter,100000,30,30000,2.0,gaussian_nv,1.0,0.05,0.1,59.41970894706154,61.51571347487894,-2.0960045278174064,0,26,30,36,81.2676406998653,100000
19,20260406,542673397,cd_A,f_A,iter,100000,30,30000,2.0,gaussian_nv,1.0,0.05,0.1,56.82760436927941,61.51571347487894,-4.68810910559953,0,20,30,40,59.50097690010443,100000
20,20260406,287248299,cd_A,f_A,iter,100000,30,30000,2.0,gaussian_nv,1.0,0.05,0.1,56.92946127288188,61.51571347487894,-4.586252201997063,0,27,30,39,44.8026289998088,100000
21,20260406,349000651,cd_A,f_A,iter,100000,30,30000,2.0,gaussian_nv,1.0,0.05,0.1,57.079475953051016,61.51571347487894,-4.436237521827927,0,28,30,42,44.975309500005096,100000
22,20260406,461870015,cd_A,f_A,iter,100000,30,30000,2.0,gaussian_nv,1.0,0.05,0.1,57.4822106495654,61.51571347487894,-4.0335028253135405,0,37,30,47,45.94085990008898,100000
23,20260406,386116660,cd_A,f_A,iter,100000,30,30000,2.0,gaussian_nv,1.0,0.05,0.1,57.745706324701736,61.51571347487894,-3.7700071501772072,0,26,30,36,44.814913199981675,100000
24,20260406,110083836,cd_A,f_A,iter,100000,30,30000,2.0,gaussian_nv,1.0,0.05,0.1,56.87529954425112,61.51571347487894,-4.6404139306278225,0,27,30,39,44.84813580010086,100000
25,20260406,200731879,cd_A,f_A,iter,100000,30,30000,2.0,gaussian_nv,1.0,0.05,0.1,56.66401535988425,61.51571347487894,-4.85169811499469,0,7,30,33,43.81074559991248,100000
26,20260406,196056933,cd_A,f_A,iter,100000,30,30000,2.0,gaussian_nv,1.0,0.05,0.1,57.38505688308125,61.51571347487894,-4.130656591797695,0,25,30,39,44.4684011999052,100000
27,20260406,101969108,cd_A,f_A,iter,100000,30,30000,2.0,gaussian_nv,1.0,0.05,0.1,57.04121442155407,61.51571347487894,-4.47449905332487,0,17,30,41,44.26357330009341,100000
28,20260406,873446783,cd_A,f_A,iter,100000,30,30000,2.0,gaussian_nv,1.0,0.05,0.1,57.29684146489096,61.51571347487894,-4.218872009987983,0,25,30,39,43.12807770003565,100000
