d,degree,shd_mean,shd_std,shd_min,shd_max,n_edges_true,n_edges_est,runtime_sec,trials
20,1.0,3.6,2.4083189157584592,1.0,6.0,10.2,13.8,3.2885082400403918,5
20,2.0,6.2,2.8635642126552705,3.0,10.0,18.6,24.4,3.156933560036123,5
20,3.0,14.4,17.84096409950987,3.0,46.0,30.0,41.6,3.1505100800655783,5
20,4.0,14.8,14.805404418657398,3.0,40.0,40.0,52.2,3.8272790200077,5
30,1.0,4.6,2.073644135332772,1.0,6.0,14.0,18.8,5.4750004600733515,5
30,2.0,9.4,1.8165902124584952,7.0,11.0,30.6,39.8,5.4356849800795315,5
30,3.0,23.8,29.33768907054542,9.0,76.0,41.0,61.6,5.173421239852905,5
30,4.0,103.8,72.50999931043994,9.0,176.0,63.4,151.8,6.742243260145187,5
40,1.0,10.6,1.6733200530681511,9.0,13.0,18.2,28.8,7.166632879991084,5
40,2.0,10.0,1.9999999999999998,8.0,12.0,36.0,45.6,7.309348460007459,5
40,3.0,8.6,3.646916505762094,3.0,13.0,59.2,67.0,7.265987680014223,5
40,4.0,35.4,38.83683818232375,7.0,96.0,81.6,110.8,8.174865319952369,5
50,1.0,12.8,2.6832815729997477,10.0,16.0,21.6,35.0,9.041162520088255,5
50,2.0,14.0,1.5811388300841898,12.0,16.0,47.4,60.6,9.021725359931589,5
50,3.0,37.8,47.970824466544244,9.0,123.0,74.0,106.4,10.33715600008145,5
50,4.0,68.6,111.3925491224615,7.0,265.0,97.4,159.8,12.226880479976534,5
