d,degree,trial_id,seed,shd,n_edges_true,n_edges_est,runtime_sec
20,1.0,1,89250953,5.0,12,17,2.764761600177735
20,1.0,2,773956048,6.0,13,19,2.781686100177467
20,1.0,3,654571518,1.0,10,11,2.6874004998244345
20,1.0,4,438878439,5.0,13,18,2.926407199818641
20,1.0,5,433015235,1.0,3,4,2.813396700192243
20,1.0,6,858597919,2.0,4,6,2.8778677000664175
20,1.0,7,201469535,3.0,15,18,2.9409477999433875
20,1.0,8,94177347,4.0,5,10,3.041043400298804
20,1.0,9,526478978,7.0,9,16,2.992521299980581
20,1.0,10,975622351,6.0,10,16,2.920933000277728
20,1.0,11,735752370,7.0,18,25,2.8272480997256935
20,1.0,12,761139701,6.0,6,12,2.593409599736333
20,1.0,13,717477276,6.0,7,12,2.529576299712062
20,1.0,14,786064305,3.0,9,12,2.6564415004104376
20,1.0,15,513226573,6.0,10,16,2.7282152995467186
20,1.0,16,128113632,7.0,13,21,2.8796843998134136
20,1.0,17,839748229,5.0,7,12,2.695146200247109
20,1.0,18,450385937,6.0,13,19,2.6907343002967536
20,1.0,19,500351915,4.0,11,15,2.734539700206369
20,1.0,20,370798024,2.0,7,9,2.826133799739182
20,2.0,1,182549636,2.0,24,26,2.8638291000388563
20,2.0,2,926764988,2.0,18,20,2.6423936998471618
20,2.0,3,781567455,3.0,22,25,2.715705499984324
20,2.0,4,643865119,4.0,18,22,2.6402325998060405
20,2.0,5,402414364,5.0,23,28,2.6797891003079712
20,2.0,6,822761613,2.0,20,22,2.680482099764049
20,2.0,7,545429118,2.0,22,24,2.6371716000139713
20,2.0,8,443414198,3.0,23,26,2.5613324996083975
20,2.0,9,450459553,4.0,18,22,2.6742186998017132
20,2.0,10,227238721,8.0,20,28,2.9269171999767423
20,2.0,11,92135914,8.0,17,25,2.836294500157237
20,2.0,12,554584786,5.0,24,29,3.0081485002301633
20,2.0,13,887889843,5.0,17,22,3.688457800075412
20,2.0,14,63817255,7.0,22,29,3.818693400360644
20,2.0,15,858291293,6.0,17,23,3.6765410001389682
20,2.0,16,827631171,5.0,21,26,3.8201930997893214
20,2.0,17,276759694,6.0,16,22,3.741334700025618
20,2.0,18,165229079,8.0,19,27,3.756846200209111
20,2.0,19,700522966,8.0,20,28,3.8730327002704144
20,2.0,20,354525967,4.0,21,25,3.7588451001793146
20,3.0,1,67920001,9.0,24,33,3.828762199729681
20,3.0,2,970698024,5.0,24,29,3.7580688996240497
20,3.0,3,445687486,8.0,24,32,3.6627930998802185
20,3.0,4,893121121,2.0,34,36,3.481287299655378
20,3.0,5,677919011,71.0,39,100,3.5881773997098207
20,3.0,6,778383496,25.0,30,50,3.1792599000036716
20,3.0,7,759899441,13.0,27,36,3.3058378999121487
20,3.0,8,194638707,2.0,28,30,3.5056708003394306
20,3.0,9,363906031,7.0,22,29,3.6267383000813425
20,3.0,10,466721003,7.0,21,27,3.7138077998533845
20,3.0,11,497791541,5.0,25,30,3.9789293999783695
20,3.0,12,43803765,39.0,27,58,3.953950900118798
20,3.0,13,546569503,44.0,42,77,3.9415047001093626
20,3.0,14,154289491,33.0,27,54,3.9369281004182994
20,3.0,15,743375907,6.0,26,32,3.7936717998236418
20,3.0,16,683048953,3.0,28,32,3.8625118997879326
20,3.0,17,922527839,60.0,31,80,4.075584600213915
20,3.0,18,744762155,12.0,24,29,3.895463699940592
20,3.0,19,366642656,3.0,30,33,3.7525961003266275
20,3.0,20,967509732,9.0,38,47,3.904611900448799
20,4.0,1,905535765,20.0,40,56,4.117105499841273
20,4.0,2,370459705,75.0,41,101,4.097949499730021
20,4.0,3,76343185,34.0,37,66,4.046310400124639
20,4.0,4,469555811,53.0,28,71,4.260860800277442
20,4.0,5,795679975,7.0,35,42,4.007472799625248
20,4.0,6,189471358,22.0,39,57,4.050892500206828
20,4.0,7,462940571,57.0,45,94,4.097297300118953
20,4.0,8,129921505,3.0,38,41,3.8772030998952687
20,4.0,9,686478210,43.0,30,62,3.8421130999922752
20,4.0,10,330196333,5.0,36,40,3.9135254002176225
20,4.0,11,226909348,42.0,42,74,3.889754300005734
20,4.0,12,564499893,49.0,37,75,4.009995399974287
20,4.0,13,669813994,14.0,39,50,4.064863599836826
20,4.0,14,940306095,60.0,36,84,4.034416300244629
20,4.0,15,437151918,24.0,43,61,4.0478595001623034
20,4.0,16,160688162,7.0,38,45,3.8236960996873677
20,4.0,17,629764301,53.0,38,83,3.961607899982482
20,4.0,18,700265101,3.0,42,45,3.91526300041005
20,4.0,19,97226634,89.0,47,122,4.109868300147355
20,4.0,20,312366641,4.0,42,46,3.7383968997746706
30,1.0,1,767843914,5.0,14,19,5.598480599932373
30,1.0,2,832259801,5.0,20,25,5.772192500066012
30,1.0,3,435216667,8.0,18,26,5.542947200126946
30,1.0,4,804764357,6.0,15,21,5.671618599910289
30,1.0,5,841691868,12.0,19,31,5.79782749991864
30,1.0,6,387478378,11.0,20,32,5.82931589987129
