d,algorithm,n_total,n_ok,runtime_mean_sec,runtime_std_sec,status_counts
5,cd_A,1,1,4.3296444999286905,0.0,{'ok': 1}
5,ges,1,1,0.10812829993665218,0.0,{'ok': 1}
5,golem,1,1,19.16383470001165,0.0,{'ok': 1}
5,sp,1,1,0.01982090005185455,0.0,{'ok': 1}
6,cd_A,1,1,9.776684700045735,0.0,{'ok': 1}
6,ges,1,1,0.30487420002464205,0.0,{'ok': 1}
6,golem,1,1,19.39133450004738,0.0,{'ok': 1}
6,sp,1,1,0.1842925000237301,0.0,{'ok': 1}
7,cd_A,1,1,14.379957600031048,0.0,{'ok': 1}
7,ges,1,1,0.6106620999053121,0.0,{'ok': 1}
7,golem,1,1,20.78130109992344,0.0,{'ok': 1}
7,sp,1,1,1.6862184000201523,0.0,{'ok': 1}
8,cd_A,1,1,21.7189931999892,0.0,{'ok': 1}
8,ges,1,1,1.2441285999957472,0.0,{'ok': 1}
8,golem,1,1,20.197953199967742,0.0,{'ok': 1}
8,sp,1,1,15.220929400064051,0.0,{'ok': 1}
10,cd_A,1,1,41.25221139995847,0.0,{'ok': 1}
10,ges,1,1,1.575461099972017,0.0,{'ok': 1}
10,golem,1,1,19.818023600033484,0.0,{'ok': 1}
10,sp,1,0,,,{'skipped': 1}
15,cd_A,1,1,137.8280863999389,0.0,{'ok': 1}
15,ges,1,1,4.382524099899456,0.0,{'ok': 1}
15,golem,1,1,20.463532499969006,0.0,{'ok': 1}
15,sp,1,0,,,{'skipped': 1}
20,cd_A,1,1,389.5531331000384,0.0,{'ok': 1}
20,ges,1,1,38.577306600054726,0.0,{'ok': 1}
20,golem,1,1,29.645535700023174,0.0,{'ok': 1}
20,sp,1,0,,,{'skipped': 1}
