d,algorithm,n_total,n_ok,mec_match_mean,cpdag_shd_mean,runtime_sec_mean,status_counts
5,cd_A,1,1,0.0,1.0,3.7980755999451503,{'ok': 1}
5,ges,1,1,1.0,0.0,0.12632849998772144,{'ok': 1}
5,golem,1,1,0.0,8.0,19.747786700027063,{'ok': 1}
5,sp,1,1,0.0,7.0,0.019319099956192076,{'ok': 1}
6,cd_A,1,1,0.0,7.0,5.125452300067991,{'ok': 1}
6,ges,1,1,0.0,8.0,0.4130981999915093,{'ok': 1}
6,golem,1,1,0.0,12.0,20.948180199950002,{'ok': 1}
6,sp,1,1,0.0,3.0,0.3261150000616908,{'ok': 1}
7,cd_A,1,1,0.0,11.0,6.605691400007345,{'ok': 1}
7,ges,1,1,0.0,0.0,0.6493170999456197,{'ok': 1}
7,golem,1,1,0.0,15.0,21.74573419999797,{'ok': 1}
7,sp,1,1,0.0,7.0,1.8745116000063717,{'ok': 1}
8,cd_A,1,1,0.0,20.0,7.892241799971089,{'ok': 1}
8,ges,1,1,0.0,6.0,1.292860500048846,{'ok': 1}
8,golem,1,1,0.0,14.0,22.146686299936846,{'ok': 1}
8,sp,1,1,0.0,11.0,18.36114070005715,{'ok': 1}
9,cd_A,1,1,0.0,21.0,8.64217590005137,{'ok': 1}
9,ges,1,1,0.0,0.0,1.2763049999484792,{'ok': 1}
9,golem,1,1,0.0,21.0,23.499652400030755,{'ok': 1}
9,sp,1,0,,,,{'skipped': 1}
11,cd_A,1,1,0.0,19.0,11.01523699995596,{'ok': 1}
11,ges,1,1,0.0,0.0,2.941083199926652,{'ok': 1}
11,golem,1,1,0.0,28.0,24.020749900024384,{'ok': 1}
11,sp,1,0,,,,{'skipped': 1}
13,cd_A,1,1,0.0,51.0,13.251621400006115,{'ok': 1}
13,ges,1,1,0.0,29.0,11.047450700076297,{'ok': 1}
13,golem,1,1,0.0,30.0,23.57555329997558,{'ok': 1}
13,sp,1,0,,,,{'skipped': 1}
15,cd_A,1,1,0.0,33.0,15.619592000031844,{'ok': 1}
15,ges,1,1,0.0,0.0,10.953472099965438,{'ok': 1}
15,golem,1,1,0.0,41.0,24.665413199923933,{'ok': 1}
15,sp,1,0,,,,{'skipped': 1}
20,cd_A,1,1,0.0,64.0,21.516731000039726,{'ok': 1}
20,ges,1,1,0.0,0.0,25.674987000063993,{'ok': 1}
20,golem,1,1,0.0,63.0,34.06543660000898,{'ok': 1}
20,sp,1,0,,,,{'skipped': 1}
