d,trial_id,seed,algorithm,status,runtime_sec,mec_match,cpdag_shd,score_start,score_end,score_delta,score_rel_change,message
5,1,89250953,cd_A,ok,3.7980755999451503,0.0,1.0,36569.58702373339,10.87333299418744,-36558.7136907392,-0.9997026673288071,
5,1,89250953,golem,ok,19.747786700027063,0.0,8.0,31.021663665771484,22.5697021484375,-8.451961517333984,-0.27245352178385557,
5,1,89250953,sp,ok,0.019319099956192076,0.0,7.0,,,,,
5,1,89250953,ges,ok,0.12632849998772144,1.0,0.0,,,,,
6,1,773956048,cd_A,ok,5.125452300067991,0.0,7.0,108295.75043944387,73.36409037563983,-108222.38634906823,-0.9993225579944001,
6,1,773956048,golem,ok,20.948180199950002,0.0,12.0,41.25829315185547,26.1080265045166,-15.150266647338867,-0.36720536624179667,
6,1,773956048,sp,ok,0.3261150000616908,0.0,3.0,,,,,
6,1,773956048,ges,ok,0.4130981999915093,0.0,8.0,,,,,
7,1,654571518,cd_A,ok,6.605691400007345,0.0,11.0,5617.885596604814,13.240209166689073,-5604.645387438125,-0.9976432042021839,
7,1,654571518,golem,ok,21.74573419999797,0.0,15.0,46.407508850097656,30.32155418395996,-16.085954666137695,-0.34662396376623217,
7,1,654571518,sp,ok,1.8745116000063717,0.0,7.0,,,,,
7,1,654571518,ges,ok,0.6493170999456197,0.0,0.0,,,,,
8,1,438878439,cd_A,ok,7.892241799971089,0.0,20.0,374642.1494780544,110.06366625047939,-374532.0858118039,-0.9997062165418285,
8,1,438878439,golem,ok,22.146686299936846,0.0,14.0,54.1888427734375,34.75821304321289,-19.43062973022461,-0.3585725166980099,
8,1,438878439,sp,ok,18.36114070005715,0.0,11.0,,,,,
8,1,438878439,ges,ok,1.292860500048846,0.0,6.0,,,,,
9,1,433015235,cd_A,ok,8.64217590005137,0.0,21.0,341522.7207515836,77.85525899988015,-341444.8654925837,-0.9997720349064082,
9,1,433015235,golem,ok,23.499652400030755,0.0,21.0,61.04670333862305,39.29975509643555,-21.7469482421875,-0.35623460486568614,
9,1,433015235,sp,skipped,,,,,,,,d=9 > sp_max_d=8
9,1,433015235,ges,ok,1.2763049999484792,0.0,0.0,,,,,
11,1,858597919,cd_A,ok,11.01523699995596,0.0,19.0,99200.64098996331,236.0668855824177,-98964.5741043809,-0.9976203088687068,
11,1,858597919,golem,ok,24.020749900024384,0.0,28.0,68.06227111816406,48.053062438964844,-20.00920867919922,-0.29398385258788384,
11,1,858597919,sp,skipped,,,,,,,,d=11 > sp_max_d=8
11,1,858597919,ges,ok,2.941083199926652,0.0,0.0,,,,,
13,1,201469535,cd_A,ok,13.251621400006115,0.0,51.0,1779583.37468977,2886.0205783570427,-1776697.3541114128,-0.9983782605415381,
13,1,201469535,golem,ok,23.57555329997558,0.0,30.0,90.80149841308594,58.48506164550781,-32.316436767578125,-0.3559020206974961,
13,1,201469535,sp,skipped,,,,,,,,d=13 > sp_max_d=8
13,1,201469535,ges,ok,11.047450700076297,0.0,29.0,,,,,
15,1,94177347,cd_A,ok,15.619592000031844,0.0,33.0,1940725.0679864034,5904.86121871048,-1934820.206767693,-0.9969573942666505,
15,1,94177347,golem,ok,24.665413199923933,0.0,41.0,92.48682403564453,66.22216796875,-26.26465606689453,-0.2839826790546059,
15,1,94177347,sp,skipped,,,,,,,,d=15 > sp_max_d=8
15,1,94177347,ges,ok,10.953472099965438,0.0,0.0,,,,,
20,1,526478978,cd_A,ok,21.516731000039726,0.0,64.0,1172401.0480579208,1391.485560422156,-1171009.5624974987,-0.9988131317668753,
20,1,526478978,golem,ok,34.06543660000898,0.0,63.0,126.88267517089844,90.16300201416016,-36.71967315673828,-0.2893986362384007,
20,1,526478978,sp,skipped,,,,,,,,d=20 > sp_max_d=8
20,1,526478978,ges,ok,25.674987000063993,0.0,0.0,,,,,
