experiment_id,experiment,algorithm,mec_match_mean,exact_match_mean,cpdag_shd_mean,cpdag_shd_std,runtime_sec_mean,runs
1,"d=3, A→B←C",cd_A_l0_0.0,1.0,1.0,0.0,,1.1390187999932095,1.0
1,"d=3, A→B←C",cd_A_l0_0.1,1.0,1.0,0.0,,0.5599762999918312,1.0
1,"d=3, A→B←C",cd_A_l0_0.2,1.0,1.0,0.0,,0.4511832999996841,1.0
1,"d=3, A→B←C",cd_BOmega_l0_0.0,1.0,1.0,0.0,,0.3468173999572173,1.0
1,"d=3, A→B←C",cd_BOmega_l0_0.1,1.0,1.0,0.0,,0.40295150002930313,1.0
1,"d=3, A→B←C",cd_BOmega_l0_0.2,1.0,1.0,0.0,,0.38038710004184395,1.0
1,"d=3, A→B←C",cd_B_l0_0.0,1.0,1.0,0.0,,0.3549473999883048,1.0
1,"d=3, A→B←C",cd_B_l0_0.1,1.0,1.0,0.0,,0.4448355999775231,1.0
1,"d=3, A→B←C",cd_B_l0_0.2,1.0,1.0,0.0,,0.36107059998903424,1.0
1,"d=3, A→B←C",ges,1.0,1.0,0.0,,0.012352499994449317,1.0
1,"d=3, A→B←C",golem_ev,,,,,,
1,"d=3, A→B←C",golem_nv,,,,,,
1,"d=3, A→B←C",sp,1.0,1.0,0.0,,0.001813200011383742,1.0
2,"d=3, A→B→C",cd_A_l0_0.0,1.0,1.0,0.0,,0.41365240002050996,1.0
2,"d=3, A→B→C",cd_A_l0_0.1,1.0,1.0,0.0,,0.4061411999864504,1.0
2,"d=3, A→B→C",cd_A_l0_0.2,1.0,1.0,0.0,,0.4400877999723889,1.0
2,"d=3, A→B→C",cd_BOmega_l0_0.0,1.0,1.0,0.0,,0.3973552000243217,1.0
2,"d=3, A→B→C",cd_BOmega_l0_0.1,1.0,1.0,0.0,,0.3294482000055723,1.0
2,"d=3, A→B→C",cd_BOmega_l0_0.2,0.0,0.0,1.0,,0.5338163000415079,1.0
2,"d=3, A→B→C",cd_B_l0_0.0,0.0,0.0,1.0,,0.3558513999450952,1.0
2,"d=3, A→B→C",cd_B_l0_0.1,0.0,0.0,2.0,,0.3159586999681778,1.0
2,"d=3, A→B→C",cd_B_l0_0.2,0.0,0.0,2.0,,0.3044055000063963,1.0
2,"d=3, A→B→C",ges,0.0,0.0,0.0,,0.01840599998831749,1.0
2,"d=3, A→B→C",golem_ev,,,,,,
2,"d=3, A→B→C",golem_nv,,,,,,
2,"d=3, A→B→C",sp,1.0,0.0,0.0,,0.0019311999785713851,1.0
3,"d=3, A→B→C + A→C",cd_A_l0_0.0,1.0,1.0,0.0,,0.42009869997855276,1.0
3,"d=3, A→B→C + A→C",cd_A_l0_0.1,1.0,1.0,0.0,,0.3712633000104688,1.0
3,"d=3, A→B→C + A→C",cd_A_l0_0.2,1.0,1.0,0.0,,0.4439444000017829,1.0
3,"d=3, A→B→C + A→C",cd_BOmega_l0_0.0,1.0,1.0,0.0,,0.4208802000503056,1.0
3,"d=3, A→B→C + A→C",cd_BOmega_l0_0.1,1.0,1.0,0.0,,0.418866700027138,1.0
3,"d=3, A→B→C + A→C",cd_BOmega_l0_0.2,1.0,1.0,0.0,,0.37582560000009835,1.0
3,"d=3, A→B→C + A→C",cd_B_l0_0.0,1.0,1.0,0.0,,0.36980529996799305,1.0
3,"d=3, A→B→C + A→C",cd_B_l0_0.1,1.0,1.0,0.0,,0.27764420001767576,1.0
3,"d=3, A→B→C + A→C",cd_B_l0_0.2,1.0,1.0,0.0,,0.3041437000501901,1.0
3,"d=3, A→B→C + A→C",ges,1.0,0.0,0.0,,0.01658509997650981,1.0
3,"d=3, A→B→C + A→C",golem_ev,,,,,,
3,"d=3, A→B→C + A→C",golem_nv,,,,,,
3,"d=3, A→B→C + A→C",sp,1.0,0.0,0.0,,0.0011884999694302678,1.0
4,"d=4, A→B, B→C, B→D",cd_A_l0_0.0,0.0,0.0,1.0,,0.8550503000151366,1.0
4,"d=4, A→B, B→C, B→D",cd_A_l0_0.1,0.0,0.0,1.0,,0.6790180000243708,1.0
4,"d=4, A→B, B→C, B→D",cd_A_l0_0.2,0.0,0.0,1.0,,0.7258888999931514,1.0
4,"d=4, A→B, B→C, B→D",cd_BOmega_l0_0.0,0.0,0.0,1.0,,0.6225822000415064,1.0
4,"d=4, A→B, B→C, B→D",cd_BOmega_l0_0.1,0.0,0.0,1.0,,0.6598696000291966,1.0
