experiment_id,experiment,repeat_id,seed,algorithm,mec_match,exact_match,cpdag_shd,runtime_sec
1,"d=3, A→B←C",1,89250953,cd_A_l0_0.0,1,1,0.0,0.9693133000000671
1,"d=3, A→B←C",1,89250953,cd_B_l0_0.0,1,1,0.0,0.32151900000098976
1,"d=3, A→B←C",1,89250953,cd_BOmega_l0_0.0,1,1,0.0,0.36732730000221636
1,"d=3, A→B←C",1,89250953,cd_A_l0_0.1,1,1,0.0,0.44713580000097863
1,"d=3, A→B←C",1,89250953,cd_B_l0_0.1,1,1,0.0,0.32181040000068606
1,"d=3, A→B←C",1,89250953,cd_BOmega_l0_0.1,1,1,0.0,0.39741930000309367
1,"d=3, A→B←C",1,89250953,cd_A_l0_0.2,1,1,0.0,0.40753919999770005
1,"d=3, A→B←C",1,89250953,cd_B_l0_0.2,1,1,0.0,0.40557600000101957
1,"d=3, A→B←C",1,89250953,cd_BOmega_l0_0.2,1,1,0.0,0.38538100000005215
1,"d=3, A→B←C",1,89250953,sp,1,1,0.0,0.0014063999988138676
1,"d=3, A→B←C",1,89250953,ges,1,1,0.0,0.019373200000700308
2,"d=3, A→B→C",1,773956048,cd_A_l0_0.0,1,1,0.0,0.42118440000194823
2,"d=3, A→B→C",1,773956048,cd_B_l0_0.0,0,0,1.0,0.22986219999802415
2,"d=3, A→B→C",1,773956048,cd_BOmega_l0_0.0,1,1,0.0,0.3436206000005768
2,"d=3, A→B→C",1,773956048,cd_A_l0_0.1,1,1,0.0,0.48144699999829754
2,"d=3, A→B→C",1,773956048,cd_B_l0_0.1,0,0,2.0,0.3037804000014148
2,"d=3, A→B→C",1,773956048,cd_BOmega_l0_0.1,1,1,0.0,0.36304720000043744
2,"d=3, A→B→C",1,773956048,cd_A_l0_0.2,1,1,0.0,0.402838599999086
2,"d=3, A→B→C",1,773956048,cd_B_l0_0.2,0,0,2.0,0.2871360999997705
2,"d=3, A→B→C",1,773956048,cd_BOmega_l0_0.2,0,0,1.0,0.4172223000023223
2,"d=3, A→B→C",1,773956048,sp,1,0,0.0,0.0015310000017052516
2,"d=3, A→B→C",1,773956048,ges,0,0,0.0,0.012523699999292148
3,"d=3, A→B→C + A→C",1,654571518,cd_A_l0_0.0,1,1,0.0,0.3794860999987577
3,"d=3, A→B→C + A→C",1,654571518,cd_B_l0_0.0,1,1,0.0,0.31412799999816343
3,"d=3, A→B→C + A→C",1,654571518,cd_BOmega_l0_0.0,1,1,0.0,0.3268153999997594
3,"d=3, A→B→C + A→C",1,654571518,cd_A_l0_0.1,1,1,0.0,0.3700187000031292
3,"d=3, A→B→C + A→C",1,654571518,cd_B_l0_0.1,1,1,0.0,0.3125701000026311
3,"d=3, A→B→C + A→C",1,654571518,cd_BOmega_l0_0.1,1,1,0.0,0.3313649000010628
3,"d=3, A→B→C + A→C",1,654571518,cd_A_l0_0.2,1,1,0.0,0.38620910000099684
3,"d=3, A→B→C + A→C",1,654571518,cd_B_l0_0.2,1,1,0.0,0.3185145999996166
3,"d=3, A→B→C + A→C",1,654571518,cd_BOmega_l0_0.2,1,1,0.0,0.2802214000003005
3,"d=3, A→B→C + A→C",1,654571518,sp,1,0,0.0,0.0013916000025346875
3,"d=3, A→B→C + A→C",1,654571518,ges,1,0,0.0,0.022231900002225302
4,"d=4, A→B, B→C, B→D",1,438878439,cd_A_l0_0.0,0,0,1.0,0.7835003000000142
4,"d=4, A→B, B→C, B→D",1,438878439,cd_B_l0_0.0,0,0,1.0,0.6214841000000888
4,"d=4, A→B, B→C, B→D",1,438878439,cd_BOmega_l0_0.0,0,0,1.0,0.7038266999988991
4,"d=4, A→B, B→C, B→D",1,438878439,cd_A_l0_0.1,0,0,1.0,0.7965241000019887
4,"d=4, A→B, B→C, B→D",1,438878439,cd_B_l0_0.1,0,0,1.0,0.8409921999991639
4,"d=4, A→B, B→C, B→D",1,438878439,cd_BOmega_l0_0.1,0,0,1.0,0.9436882999980298
