data_source,algorithm,d,n_samples,trials,mec_match_mean,shd_mean,shd_std,cpdag_shd_mean,precision_mean,recall_mean,f1_mean,n_edges_true_mean,n_edges_est_mean,runtime_sec_mean
calm,cd_A_weakfaith,50,50000,2,0.5,10.0,2.8284271247461903,4.0,0.64,0.64,0.64,25.0,25.0,28.583893649978563
calm,fges,50,50000,2,0.0,14.5,2.1213203435596424,8.5,0.6121273712737128,0.94,0.7406855439642324,25.0,38.5,7.814265499939211
calm,cd_A,50,50000,2,0.0,15.5,0.7071067811865476,13.5,0.51,0.52,0.5149019607843137,25.0,25.5,29.78601660009008
calm,calm,50,50000,2,0.0,18.0,1.4142135623730951,21.0,0.875,0.28,0.42424242424242425,25.0,8.0,112.46513735002372
calm,golem,50,50000,2,0.0,63.0,22.627416997969522,93.0,0.11981566820276497,0.36,0.17854391371340522,25.0,78.0,343.5420173499733
synthetic,cd_A_weakfaith,50,50000,2,0.0,12.0,5.656854249492381,7.0,0.682608695652174,0.5812807881773399,0.6273584905660378,28.5,24.0,27.299897699966095
synthetic,fges,50,50000,2,0.0,15.5,7.7781745930520225,11.0,0.6472672064777327,1.0,0.7822671156004488,28.5,45.0,8.621192849939689
synthetic,calm,50,50000,2,0.0,18.0,1.4142135623730951,21.0,0.8846153846153846,0.3688423645320197,0.5201465201465201,28.5,12.0,113.72619330009911
synthetic,cd_A,50,50000,2,0.0,26.5,0.7071067811865476,26.0,0.3612903225806452,0.3854679802955665,0.3728813559322034,28.5,30.5,26.757771100034006
synthetic,golem,50,50000,2,0.0,66.0,14.142135623730951,72.5,0.14996568291008922,0.48891625615763545,0.22950819672131145,28.5,93.5,316.71804094989784
