data_source,algorithm,d,n_samples,trial_id,data_seed,status,n_edges_true,runtime_sec,message,mec_match,shd,cpdag_shd,precision,recall,f1,n_edges_est
synthetic,cd_A,50,50000,1,89250953,ok,28,27.26452809991315,,0,27.0,26.0,0.3225806451612903,0.35714285714285715,0.3389830508474576,31
synthetic,cd_A_weakfaith,50,50000,1,89250953,ok,28,28.233513799961656,,0,8.0,4.0,0.8,0.7142857142857143,0.7547169811320756,25
synthetic,calm,50,50000,1,89250953,ok,28,118.47490190016106,,0,17.0,21.0,1.0,0.39285714285714285,0.5641025641025641,11
synthetic,golem,50,50000,1,89250953,ok,28,324.6989343999885,,0,76.0,87.0,0.10638297872340426,0.35714285714285715,0.16393442622950818,94
synthetic,fges,50,50000,1,89250953,ok,28,8.188541200011969,,0,10.0,3.0,0.7368421052631579,1.0,0.8484848484848484,38
synthetic,cd_A,50,50000,2,773956048,ok,29,26.251014100154862,,0,26.0,26.0,0.4,0.41379310344827586,0.4067796610169491,30
synthetic,cd_A_weakfaith,50,50000,2,773956048,ok,29,26.366281599970534,,0,16.0,10.0,0.5652173913043478,0.4482758620689655,0.4999999999999999,23
synthetic,calm,50,50000,2,773956048,ok,29,108.97748470003717,,0,19.0,21.0,0.7692307692307693,0.3448275862068966,0.47619047619047616,13
synthetic,golem,50,50000,2,773956048,ok,29,308.7371474998072,,0,56.0,58.0,0.1935483870967742,0.6206896551724138,0.29508196721311475,93
synthetic,fges,50,50000,2,773956048,ok,29,9.05384449986741,,0,21.0,19.0,0.5576923076923077,1.0,0.7160493827160493,52
calm,cd_A,50,50000,1,89250953,ok,25,27.698292300105095,,0,15.0,15.0,0.52,0.52,0.52,25
calm,cd_A_weakfaith,50,50000,1,89250953,ok,25,27.748925799969584,,1,8.0,0.0,0.68,0.68,0.68,25
calm,calm,50,50000,1,89250953,ok,25,114.19480139994994,,0,17.0,21.0,1.0,0.32,0.48484848484848486,8
calm,golem,50,50000,1,89250953,ok,25,357.4457127000205,,0,79.0,139.0,0.0967741935483871,0.36,0.15254237288135591,93
calm,fges,50,50000,1,89250953,ok,25,8.341570499818772,,0,16.0,8.0,0.5853658536585366,0.96,0.7272727272727272,41
calm,cd_A,50,50000,2,773956048,ok,25,31.873740900075063,,0,16.0,12.0,0.5,0.52,0.5098039215686274,26
calm,cd_A_weakfaith,50,50000,2,773956048,ok,25,29.418861499987543,,0,12.0,8.0,0.6,0.6,0.6,25
calm,calm,50,50000,2,773956048,ok,25,110.73547330009751,,0,19.0,21.0,0.75,0.24,0.36363636363636365,8
calm,golem,50,50000,2,773956048,ok,25,329.6383219999261,,0,47.0,47.0,0.14285714285714285,0.36,0.2045454545454545,63
calm,fges,50,50000,2,773956048,ok,25,7.286960500059649,,0,13.0,9.0,0.6388888888888888,0.92,0.7540983606557377,36
