mec_match,exact_match,cpdag_shd,n_edges_true,n_edges_est,trial,seed,algorithm,objective,runtime_sec,epochs_used
0,0,7.0,6,9,1,89250953,cd_A_l0_0.0,11.055922134184797,5.386777600040659,500.0
0,0,7.0,6,9,1,89250953,cd_B_l0_0.0,5.305478696222841,4.367012100003194,500.0
0,0,7.0,6,9,1,89250953,cd_BOmega_l0_0.0,5.163005175642001,3.6920178000000305,449.0
0,0,7.0,6,9,1,89250953,cd_A_l0_0.1,11.055960984069781,4.558355799992569,500.0
0,0,7.0,6,7,1,89250953,cd_B_l0_0.1,10.193301062493692,1.112263199989684,149.0
0,0,7.0,6,7,1,89250953,cd_BOmega_l0_0.1,7.596650531228741,1.2125029999879189,149.0
0,0,7.0,6,9,1,89250953,cd_A_l0_0.2,11.04797490209685,4.545969899976626,500.0
0,0,5.0,6,7,1,89250953,cd_B_l0_0.2,6.233693165422894,1.0239108999958262,149.0
0,0,7.0,6,7,1,89250953,cd_BOmega_l0_0.2,7.596650531228741,1.2052892000065185,149.0
0,0,3.0,6,8,1,89250953,golem_ev,,28.503602999961004,
0,0,9.0,6,8,1,89250953,golem_nv,,21.96021990000736,
0,0,7.0,6,6,1,89250953,sp,,0.020052899955771863,
1,0,0.0,6,7,1,89250953,ges,,0.14310939999995753,
0,0,1.0,4,5,2,773956048,golem_ev,,26.170427999983076,
0,0,6.0,4,5,2,773956048,golem_nv,,21.51113030000124,
0,0,4.0,7,7,3,654571518,cd_A_l0_0.0,155.35586528729584,4.716153999965172,500.0
0,0,4.0,7,7,3,654571518,cd_B_l0_0.0,9.806852616608962,1.1479170999955386,150.0
0,0,4.0,7,7,3,654571518,cd_BOmega_l0_0.0,7.4038574631598575,1.116804499994032,149.0
0,0,7.0,7,3,3,654571518,cd_A_l0_0.1,166.22576253094059,4.769429499981925,500.0
0,0,7.0,7,3,3,654571518,cd_B_l0_0.1,9.940615307853593,1.1025957000092603,149.0
