algorithm,mec_match_mean,exact_match_mean,cpdag_shd_mean,cpdag_shd_std,runtime_sec_mean
cd_A_l0_0.0,0.18,0.17,2.89,2.453177695985517,3.8560401980020105
cd_A_l0_0.1,0.25,0.24,3.17,2.6478693550120864,3.699885396999889
cd_A_l0_0.2,0.22,0.22,3.28,2.6364959911046912,3.631211748000351
cd_BOmega_l0_0.0,0.2,0.17,3.25,2.583455520082052,2.7133945309976117
cd_BOmega_l0_0.1,0.17,0.17,3.67,2.5188381159863082,1.5156183860002783
cd_BOmega_l0_0.2,0.16,0.16,3.71,2.4049402016967854,1.4272951410029782
cd_B_l0_0.0,0.18,0.14,3.72,2.7231888615660824,2.7362963909999234
cd_B_l0_0.1,0.15,0.15,3.9,2.439158656072817,1.3626294110022719
cd_B_l0_0.2,0.15,0.15,3.93,2.4954706444624297,1.3586956220003776
ges,0.36,0.07,0.77,1.8524076606984061,0.13697370600304568
golem_ev,0.26,0.26,2.74,2.6385640416749787,32.9557447670016
golem_nv,0.04,0.0,5.96,2.5182966826444777,27.518129204001163
sp,0.25,0.1,3.83,2.8535110394959493,0.023465817991527728
