mec_match,exact_match,cpdag_shd,n_edges_true,n_edges_est,trial,seed,algorithm,objective,runtime_sec,epochs_used
0,0,6.0,4,7,1,89250953,cd_A_l0_0.0,11.01961418432032,5.00613340002019,500.0
0,0,6.0,4,7,1,89250953,cd_B_l0_0.0,5.283838546092395,1.0537991000164766,149.0
0,0,6.0,4,7,1,89250953,cd_BOmega_l0_0.0,5.1419803700964355,1.0385172000096645,149.0
0,0,4.0,4,6,1,89250953,cd_A_l0_0.1,10.935735591758213,4.56202869999106,500.0
0,0,4.0,4,6,1,89250953,cd_B_l0_0.1,5.284522485696355,1.030497400002787,149.0
0,0,4.0,4,6,1,89250953,cd_BOmega_l0_0.1,5.14226124283007,1.1359542999998666,149.0
0,0,4.0,4,6,1,89250953,cd_A_l0_0.2,10.9333086933865,4.533820100012235,500.0
0,0,4.0,4,6,1,89250953,cd_B_l0_0.2,5.284522485696355,1.0439316999982111,149.0
0,0,4.0,4,6,1,89250953,cd_BOmega_l0_0.2,5.14226124283007,1.152295600011712,149.0
1,1,0.0,4,4,1,89250953,golem_ev,,24.18835099998978,
0,0,5.0,4,5,1,89250953,golem_nv,,19.289372899977025,
1,0,0.0,4,4,1,89250953,sp,,0.01748460001545027,
0,0,0.0,4,6,1,89250953,ges,,0.10592659999383613,
1,1,0.0,2,2,2,773956048,cd_A_l0_0.0,9.147677339544313,1.3464130999927875,149.0
0,0,1.0,2,3,2,773956048,cd_B_l0_0.0,4.1459578642122885,1.0063193000096362,149.0
1,1,0.0,2,2,2,773956048,cd_BOmega_l0_0.0,4.5729789321019485,1.3971032999979798,149.0
1,1,0.0,2,2,2,773956048,cd_A_l0_0.1,9.146364796148884,1.9508758999872953,149.0
1,1,0.0,2,2,2,773956048,cd_B_l0_0.1,4.146322495924636,1.4641935999970883,149.0
1,1,0.0,2,2,2,773956048,cd_BOmega_l0_0.1,4.573161247961078,1.5877564999973401,149.0
1,1,0.0,2,2,2,773956048,cd_A_l0_0.2,9.146364796148884,1.8717067000106908,149.0
1,1,0.0,2,2,2,773956048,cd_B_l0_0.2,4.146322495924636,1.5348600000143051,149.0
1,1,0.0,2,2,2,773956048,cd_BOmega_l0_0.2,4.573161247961078,1.7215022000018507,149.0
0,0,1.0,2,3,2,773956048,golem_ev,,26.046811600012006,
0,0,1.0,2,3,2,773956048,golem_nv,,22.74005630001193,
1,0,0.0,2,2,2,773956048,sp,,0.02519640000537038,
0,0,0.0,2,4,2,773956048,ges,,0.07364970000344329,
0,0,1.0,2,3,3,654571518,cd_A_l0_0.0,9.933860513346037,1.6382990000129212,159.0
0,0,1.0,2,1,3,654571518,cd_B_l0_0.0,4.653451443496282,1.2057222000148613,149.0
0,0,2.0,2,2,3,654571518,cd_BOmega_l0_0.0,4.826725725234367,1.4129019000101835,149.0
0,0,1.0,2,3,3,654571518,cd_A_l0_0.1,9.935414913371677,1.8182040000101551,159.0
0,0,1.0,2,1,3,654571518,cd_B_l0_0.1,4.658462809677042,1.3686265000142157,149.0
0,0,1.0,2,1,3,654571518,cd_BOmega_l0_0.1,4.829231404819097,1.5251709000149276,149.0
0,0,2.0,2,2,3,654571518,cd_A_l0_0.2,9.967409921079586,1.7989891000033822,157.0
0,0,1.0,2,1,3,654571518,cd_B_l0_0.2,4.658462809677042,1.3682311000011396,149.0
0,0,1.0,2,1,3,654571518,cd_BOmega_l0_0.2,4.829231404819097,1.5359005999926012,149.0
1,1,0.0,2,2,3,654571518,golem_ev,,30.788593600009335,
0,0,2.0,2,2,3,654571518,golem_nv,,23.288050500006648,
1,0,0.0,2,2,3,654571518,sp,,0.024575000017648563,
0,0,0.0,2,4,3,654571518,ges,,0.07668730002478696,
1,1,0.0,3,3,4,438878439,cd_A_l0_0.0,9.816233194821205,1.7802238000149373,149.0
1,1,0.0,3,3,4,438878439,cd_B_l0_0.0,4.812942423675981,1.1965715999831446,149.0
1,1,0.0,3,3,4,438878439,cd_BOmega_l0_0.0,4.906471211836923,1.284127199993236,149.0
1,1,0.0,3,3,4,438878439,cd_A_l0_0.1,9.817087116342416,1.7045031000161543,149.0
1,1,0.0,3,3,4,438878439,cd_B_l0_0.1,4.813794251821398,1.380068400001619,149.0
