mec_match,exact_match,cpdag_shd,n_edges_true,n_edges_est,trial,seed,algorithm,objective,runtime_sec,epochs_used
0,0,5.0,4,7,1,89250953,cd_A,5.044075195050833,1.1356927000160795,123
0,0,4.0,4,6,1,89250953,cd_B,0.0320731394422924,0.6960409999883268,109
0,0,4.0,4,6,1,89250953,cd_BOmega,2.5160365869839367,0.7559665000007953,109
1,1,0.0,2,2,2,773956048,cd_A,4.994993445806556,1.0033643000060692,109
1,1,0.0,2,2,2,773956048,cd_B,-0.005006559304331443,0.7312644000048749,109
1,1,0.0,2,2,2,773956048,cd_BOmega,2.4974967203453327,0.7943978999974206,109
0,0,1.0,2,3,3,654571518,cd_A,5.010971481195203,0.9302061999915168,109
0,0,1.0,2,1,3,654571518,cd_B,0.0501550762783839,0.7638349999906495,109
0,0,1.0,2,1,3,654571518,cd_BOmega,2.525077538090117,0.8038295999867842,109
1,1,0.0,3,3,4,438878439,cd_A,4.947188655048031,0.9491142999904696,109
1,1,0.0,3,3,4,438878439,cd_B,-0.05281489243829847,0.7423589999962132,109
1,1,0.0,3,3,4,438878439,cd_BOmega,2.4735925537783254,0.8448221999860834,109
0,0,2.0,2,2,5,433015235,cd_A,5.3424770001278965,0.9478052000049502,109
0,0,2.0,2,2,5,433015235,cd_B,0.34247698982378716,0.7511593999806792,109
0,0,2.0,2,2,5,433015235,cd_BOmega,2.6712384949095345,0.8616633000201546,109
1,1,0.0,1,1,6,858597919,cd_A,5.014831396147575,0.9919913999910932,109
1,1,0.0,1,1,6,858597919,cd_B,0.014831363864159498,0.7508250999962911,109
1,1,0.0,1,1,6,858597919,cd_BOmega,2.507415681929586,0.8526216000027489,109
1,1,0.0,2,2,7,201469535,cd_A,4.988284843297211,0.9552223999926355,109
1,1,0.0,2,2,7,201469535,cd_B,-0.011715156697836616,0.7359523000195622,109
1,1,0.0,2,2,7,201469535,cd_BOmega,2.494142421648576,0.8423345999908634,109
0,0,3.0,4,3,8,94177347,cd_A,9.60586016660201,0.8927512000082061,109
0,0,2.0,4,2,8,94177347,cd_B,4.490052462938286,0.6641731999989133,109
0,0,2.0,4,2,8,94177347,cd_BOmega,4.7450262314283975,0.7565871000115294,109
1,1,0.0,0,0,9,526478978,cd_A,4.992287873170643,1.0067065999901388,109
1,1,0.0,0,0,9,526478978,cd_B,-0.007712126824349535,0.7874334999942221,109
1,1,0.0,0,0,9,526478978,cd_BOmega,2.496143936585321,0.8231724000070244,109
1,1,0.0,2,2,10,975622351,cd_A,4.929514654271519,0.975112199987052,109
1,1,0.0,2,2,10,975622351,cd_B,-0.0704911643727941,0.7533652999845799,109
1,1,0.0,2,2,10,975622351,cd_BOmega,2.464754417811066,0.807204599987017,109
